State,ImportValue,ImportWeight,ImportTonMile,ExportValue,ExportWeight,ImportTonMile
AL,23429.34,45609.23,8237745904.33,19265.70,33534.46,4490292276.48
TN,28925.02,55419.52,9969519956.56,42454.36,72388.10,13376423244.28
WV,2843.26,4565.65,422515736.70,1672.33,2339.16,151379711.47
UT,12748.15,15954.03,4708889542.99,11608.84,11857.89,3377803488.73
KS,28512.28,105976.58,10750352827.78,46842.21,176302.26,53262993346.68
MT,4362.71,13099.02,1784065322.66,4460.48,22426.48,6933459516.21
DE,4478.11,11238.46,1081945467.59,4023.17,10173.98,521302660.04
WA,47464.55,108878.42,38153618776.22,36473.36,78346.66,16517329496.02
FL,74275.77,112493.48,24489415390.85,65392.67,99524.32,14828097112.06
TX,140492.93,327338.44,108515690847.18,105604.04,192026.27,24826409568.18
PA,76114.77,117519.10,23603101268.31,59820.33,93872.14,9477386186.86
AK,5076.76,3218.99,2523288052.33,3593.70,2151.78,469402988.79
AR,29054.94,54288.64,8117902443.29,29102.86,37156.79,4998018655.83
CO,20887.98,58988.25,7140513872.93,22429.82,62366.97,8486936554.45
NJ,48279.49,58106.99,10036727245.72,59711.12,58524.39,7736653236.88
NV,8725.51,10329.61,2290488812.29,6128.86,8662.92,1229342325.25
WY,1282.36,2245.25,538054275.91,775.28,1934.11,475698665.37
MN,45822.88,141193.68,15348598058.20,56592.83,185456.42,36697919899.81
SD,9037.35,48776.16,1811245749.21,15551.72,75894.23,19313151895.37
OK,16855.50,35331.60,5050648094.07,14519.86,39103.07,6847774044.94
MI,38639.22,64789.06,9341759409.44,36831.09,72510.65,12349804667.95
KY,21364.05,38025.03,5606647541.56,24777.46,38482.19,7832714265.36
WI,48449.19,78900.79,11109415617.15,56776.45,88155.58,15196535234.77
NH,5524.27,7291.03,1672864493.32,4000.51,6020.62,534267388.29
VT,3717.10,6042.59,1012860228.09,6444.35,7443.34,1030408568.96
AZ,22243.39,33584.82,9905566114.48,15553.11,23820.68,3900595267.25
OH,59939.66,102154.48,13285576604.80,71123.19,123476.59,18633053146.01
OR,20563.73,42901.13,11436180486.30,17457.40,32339.83,6774151947.14
SC,14578.38,24597.57,6748606859.18,12636.16,17890.63,2442878908.61
ND,7816.78,33079.73,2509894408.72,16920.24,71853.28,27878210304.58
IN,39183.45,78793.39,7592752208.16,43849.47,122721.38,22966433745.20
MO,41832.24,93096.14,14142019124.61,38068.37,92457.94,17039425649.65
RI,2558.10,3123.26,330127514.81,2185.47,3734.47,177553482.88
NM,5959.24,11756.88,2388047182.52,5763.25,5695.46,1356154579.31
ME,5545.98,7550.04,2038937508.74,4429.51,17847.67,3108303000.87
ID,8697.81,25628.05,4043747043.79,13760.09,40189.28,14291380696.51
NY,85155.96,123204.62,17241888378.64,78976.21,110053.63,12734197807.30
LA,61538.75,199326.43,55075047295.65,36512.29,136083.51,23169649353.20
NC,48403.48,72896.01,16376557934.33,50820.73,56975.12,7939152093.39
CT,12828.05,16482.83,2831524987.93,9534.20,10598.64,1196682571.84
HI,4649.65,4406.06,1580938332.86,4010.57,3362.21,158062348.12
IA,51027.41,211059.92,11575483870.00,73689.32,285250.88,58707504806.89
DC,1717.74,1175.62,107740755.13,919.62,470.37,1953860.68
MD,23584.37,37766.97,5980087785.52,21624.84,30299.08,2495407059.60
GA,60534.08,113098.77,33736726262.91,48614.77,67534.57,10163718503.66
MA,24173.19,29869.14,8526111184.46,15842.17,16524.87,2101285913.29
NE,27126.85,133355.28,7133292709.55,54508.06,204682.45,52255977284.28
VA,50218.36,58626.80,14132450126.47,43468.83,41722.83,4482314275.96
MS,12927.13,29581.45,5373806228.10,13213.14,20720.31,3771813316.90
CA,186168.26,285368.19,85807770570.47,199967.46,271042.92,71874295020.92
IL,110866.70,247236.95,34563930081.89,107900.36,261336.75,47201026551.63
