Source,Target,FoodCate,TransMode,ShipValue,ShipWeight,ShipTonMile
UT,WA,F06,T14,25.46,2.81,1.06
MO,MD,F07,T03,4.34,3.24,1.52
VA,GA,F04,T14,0.91,0.10,0.03
IA,IL,F06,T03,804.83,1561.05,121.76
IN,IA,F00,T00,12.81,127.99,32.45
NY,VT,F05,T03,35.34,12.00,1.51
IL,MN,F09,T14,1.86,0.10,0.02
NC,KY,F04,T03,8.49,9.31,2.76
IL,MS,F07,T14,0.03,0.00,0.00
FL,WI,F05,T03,20.88,5.03,3.51
IA,UT,F07,T03,35.65,20.22,10.90
MO,VA,F07,T03,34.07,41.54,19.61
KS,WY,F05,T14,0.77,0.08,0.03
CO,UT,F00,T00,0.00,0.00,0.00
PA,NE,F09,T14,0.31,0.01,0.01
AL,SC,F06,T03,7.35,1.83,0.34
SC,CT,F07,T03,1.87,4.22,1.92
PA,AL,F09,T14,0.76,0.01,0.00
KY,CA,F09,T14,0.30,0.01,0.01
VA,NV,F00,T00,0.02,0.00,0.00
KY,MS,F08,T03,18.46,6.14,1.68
WI,MD,F04,T14,7.32,0.62,0.25
NY,FL,F03,T14,1.21,0.03,0.02
TN,CA,F06,T03,221.19,168.21,169.16
NE,VA,F09,T03,2.15,1.07,0.70
LA,CA,F06,T00,54.13,221.80,223.19
NC,MS,F05,T03,47.29,54.47,18.79
OH,NM,F03,T14,3.23,0.38,0.29
NJ,ME,F06,T03,17.21,35.98,6.36
ID,OH,F08,T03,0.64,0.34,0.31
NY,KY,F09,T03,6.85,0.73,0.32
PA,MN,F04,T03,10.36,89.21,47.37
FL,NC,F07,T14,2.36,0.06,0.02
IL,OR,F00,T00,5.91,2.87,3.22
OH,TN,F00,T00,16.82,54.46,15.86
AR,MA,F08,T00,17.32,8.08,7.32
NJ,MI,F05,T03,20.16,12.97,4.19
OH,PA,F07,T14,4.37,0.97,0.11
PA,VA,F09,T14,2.91,0.05,0.01
MI,AZ,F03,T14,2.48,0.71,0.67
IN,NY,F04,T00,24.16,27.03,9.86
MN,NM,F07,T14,3.05,0.93,0.62
TN,VA,F03,T14,2.36,0.23,0.10
IL,GA,F03,T00,102.96,363.61,207.83
MI,MD,F03,T03,55.10,28.14,8.48
GA,CT,F07,T03,5.71,3.98,1.93
IA,KS,F03,T03,0.86,7.63,0.95
NC,LA,F06,T03,121.00,66.66,26.16
CT,PA,F03,T03,53.15,75.17,9.70
SC,CT,F06,T03,26.62,36.41,15.03
ND,PA,F06,T03,2.46,6.31,4.88
KS,IN,F05,T03,132.45,109.31,43.02
MT,CA,F07,T03,4.74,11.39,8.25
NY,WA,F03,T14,0.22,0.01,0.01
NE,MO,F00,T00,0.09,0.03,0.00
ID,AZ,F03,T14,2.60,0.00,0.00
ID,NV,F08,T03,0.41,0.40,0.13
MN,KY,F04,T03,0.17,0.09,0.04
NV,CA,F07,T14,11.53,4.95,0.70
KY,KY,F06,T03,381.14,357.74,7.03
NJ,CO,F07,T14,3.22,0.51,0.45
FL,VT,F09,T14,11.47,0.39,0.28
TN,AR,F05,T03,83.67,26.81,6.61
ME,CA,F04,T14,2.04,0.34,0.53
MI,CA,F07,T14,1.72,0.21,0.25
MD,NJ,F08,T14,1.08,0.33,0.03
UT,MT,F04,T03,11.78,22.37,6.73
WI,PA,F07,T06,4.76,7.33,3.33
KS,WI,F04,T03,67.52,204.54,65.26
MI,MD,F04,T14,0.81,0.13,0.03
CA,MS,F08,T03,1.11,0.56,0.64
