Source,Target,FoodCate,TransMode,ShipValue,ShipWeight,ShipTonMile
MO,IA,F09,T03,12.29,0.46,0.11
ME,TN,F03,T14,1.51,0.15,0.08
TX,VA,F00,T00,2.48,0.25,0.22
PA,LA,F07,T14,1.64,0.17,0.10
NC,GA,F04,T03,32.52,55.72,11.97
KY,NE,F09,T03,1.32,0.09,0.03
MN,AR,F07,T14,2.22,0.27,0.13
GA,CA,F03,T03,19.48,6.04,7.30
ME,CT,F03,T03,1.55,5.36,1.35
MN,CA,F03,T03,86.53,216.62,212.91
NC,MN,F03,T03,30.32,19.04,12.81
IL,NE,F04,T06,13.13,149.65,37.11
CA,MA,F03,T14,0.67,0.09,0.13
CA,IL,F04,T14,0.09,0.01,0.01
NY,MD,F07,T14,1.59,0.12,0.03
CA,TX,F08,T00,33.40,18.63,16.13
SC,MS,F00,T00,1.17,0.09,0.02
IN,WI,F03,T03,63.20,143.24,14.39
NY,ID,F07,T11,0.00,0.00,0.00
CO,ND,F06,T03,2.66,10.12,3.82
MO,IA,F06,T00,3.20,6.39,0.88
GA,MI,F06,T00,54.93,17.25,8.17
NJ,AZ,F08,T03,8.13,4.05,5.05
NH,NC,F04,T03,1.83,0.53,0.28
MS,MS,F00,T00,21.63,24.36,0.43
TX,SC,F03,T14,5.65,3.26,2.39
IA,FL,F03,T03,2.41,3.45,2.17
PA,CA,F06,T14,0.01,0.01,0.01
OH,LA,F05,T03,0.71,0.28,0.12
GA,WA,F06,T03,112.58,100.61,129.99
MT,WA,F08,T03,4.22,7.26,1.51
MO,IA,F04,T14,0.02,0.01,0.00
MT,NJ,F07,T14,0.17,0.02,0.02
KY,VA,F09,T14,0.39,0.03,0.01
OH,VA,F07,T03,379.86,536.75,127.12
MO,WA,F08,T14,0.01,0.00,0.00
OR,IN,F03,T03,33.45,29.62,35.39
UT,ME,F07,T14,0.54,0.03,0.04
MT,NE,F06,T03,6.68,14.51,6.31
MA,KS,F05,T14,0.12,0.01,0.01
SC,CO,F03,T14,0.06,0.00,0.00
LA,MN,F08,T03,0.12,0.17,0.12
DE,PA,F05,T03,246.85,243.42,38.36
KY,CA,F09,T03,2.02,0.08,0.09
TN,PA,F07,T06,29.88,55.39,33.07
AK,TX,F08,T00,6.49,10.82,15.26
NC,NY,F05,T03,684.08,572.86,177.75
CT,IL,F05,T03,1.30,0.29,0.13
CA,NM,F08,T14,2.14,0.23,0.14
VT,NE,F06,T14,1.28,0.11,0.08
CO,AL,F06,T03,5.51,8.63,6.27
MN,CA,F07,T06,200.85,651.13,720.16
TN,AL,F03,T14,1.41,0.16,0.03
CA,NE,F08,T14,2.10,0.18,0.14
OH,CO,F03,T03,7.66,1.04,0.65
AL,CO,F08,T03,1.80,0.86,0.59
MD,FL,F03,T14,1.02,0.07,0.04
WY,LA,F00,T00,8.05,14.44,11.07
OK,TX,F07,T03,185.41,539.03,98.02
CT,AR,F06,T14,0.02,0.01,0.00
KY,NJ,F09,T14,0.01,0.00,0.00
HI,LA,F08,T14,0.01,0.00,0.00
IN,MT,F04,T03,13.49,7.21,6.17
TX,OH,F09,T14,0.30,0.02,0.01
KS,SD,F05,T14,0.62,0.10,0.02
AR,GA,F03,T03,4.68,17.71,6.61
KS,IN,F06,T00,5.26,27.87,10.83
PA,VA,F09,T03,920.39,110.22,15.15
ID,VA,F07,T14,1.06,0.04,0.05
IA,AR,F06,T03,0.56,0.31,0.12
UT,MN,F03,T14,0.05,0.00,0.00
CA,TX,F05,T11,25.18,3.33,2.24
MI,OH,F08,T03,13.31,17.80,4.33
WA,UT,F06,T03,16.97,17.35,7.25
MI,MI,F03,T14,4.41,0.39,0.03
MA,NY,F00,T00,18.08,9.57,1.14
MO,AL,F01,T03,0.63,0.00,0.00
NY,KS,F06,T03,125.27,59.93,35.09
MO,MD,F06,T03,0.16,0.16,0.06
MN,CA,F04,T06,58.83,274.15,284.63
NY,OR,F09,T14,0.67,0.02,0.03
IL,VT,F03,T14,1.64,0.07,0.04
MO,WA,F06,T03,20.53,27.20,26.98
KS,KY,F06,T03,5.23,27.83,10.20
MD,ID,F07,T03,15.00,4.75,5.71
MD,VA,F09,T03,18.76,2.16,0.10
CO,IL,F04,T14,0.09,0.13,0.05
IN,IL,F04,T00,237.22,870.20,58.30
TX,TX,F04,T14,5.51,7.06,0.80
IL,IA,F06,T03,145.41,230.55,19.99
MA,TX,F04,T14,15.18,3.33,3.06
IA,TX,F03,T03,2.56,19.81,9.94
PA,VA,F07,T14,16.06,1.83,0.30
IL,GA,F05,T03,153.63,65.73,25.48
SD,NC,F06,T03,0.71,0.78,0.47
MN,ND,F07,T03,301.75,1002.79,139.73
PA,OK,F05,T14,0.00,0.00,0.00
NH,NY,F04,T03,15.74,18.49,3.18
MA,ID,F05,T03,0.84,0.24,0.33
NY,CT,F08,T03,11.68,11.61,1.96
AZ,PA,F07,T03,19.07,41.92,48.10
NH,UT,F07,T03,24.06,5.10,6.17
MN,TX,F06,T14,0.04,0.01,0.01
NY,KY,F03,T03,136.82,234.19,120.37
ME,OH,F04,T03,2.20,0.10,0.04
AR,UT,F07,T14,0.32,0.02,0.02
MI,CO,F07,T03,4.32,11.86,7.49
SD,SD,F05,T03,109.81,87.25,0.19
UT,OH,F07,T14,0.96,0.05,0.05
CA,AR,F08,T00,0.45,0.35,0.41
FL,IN,F07,T03,76.30,69.15,36.84
MN,CT,F07,T06,33.73,155.90,119.19
AZ,NV,F04,T03,53.07,51.23,23.39
OH,CA,F06,T06,0.94,4.60,6.01
MI,WI,F07,T03,335.23,584.77,104.63
TN,OR,F06,T03,36.53,94.18,121.14
HI,HI,F07,T11,20.57,1.22,0.13
IN,MO,F05,T03,19.33,8.30,2.17
DE,PA,F08,T03,8.21,10.52,1.09
IA,MN,F05,T00,3.96,1.19,0.21
OR,IL,F07,T00,5.49,4.88,5.72
ID,AL,F03,T00,3.36,15.90,16.54
IN,SC,F03,T03,8.88,24.65,9.92
OH,AR,F06,T03,128.70,121.08,50.47
WI,MN,F04,T14,52.10,25.67,5.16
SC,VA,F05,T03,62.43,55.34,9.15
CT,NY,F03,T03,9.99,11.04,2.21
WI,MN,F06,T14,13.68,3.91,0.41
KY,SC,F03,T03,13.26,13.81,3.85
NE,MO,F07,T06,85.58,151.48,22.57
IL,WA,F09,T03,18.67,2.64,2.62
CO,NE,F04,T14,0.12,0.04,0.01
WY,KY,F07,T06,3.82,11.84,8.99
KY,NJ,F05,T03,9.19,9.41,3.54
WY,AZ,F07,T14,0.36,0.04,0.03
MN,MA,F05,T03,95.89,69.61,51.31
KS,IL,F02,T03,0.41,2.76,0.63
NV,GA,F07,T03,43.39,46.26,51.09
SD,MN,F02,T06,141.86,887.76,240.72
MN,MO,F05,T14,0.61,0.02,0.01
ID,NM,F06,T00,1.18,7.45,5.84
CA,IN,F05,T03,3.75,5.96,6.23
IL,IA,F07,T14,3.26,5.93,1.00
WI,HI,F07,T14,0.22,0.02,0.05
UT,SC,F04,T03,33.90,29.10,30.69
MD,NY,F01,T14,0.26,0.01,0.00
KS,MS,F07,T06,42.82,175.36,74.30
AR,AR,F09,T03,235.26,8.01,0.19
MT,IL,F04,T14,0.48,0.05,0.03
CA,FL,F07,T14,172.48,12.55,16.19
OH,NJ,F00,T00,0.74,0.76,0.16
WA,ME,F07,T03,2.25,4.86,7.69
IA,IL,F07,T14,0.53,0.07,0.01
MA,CO,F05,T14,0.01,0.00,0.00
MI,NV,F02,T03,1.10,0.88,0.93
MA,MI,F05,T06,0.84,3.48,1.53
PA,OH,F03,T03,73.34,107.69,10.86
WA,OH,F07,T14,0.07,0.02,0.02
WI,KY,F03,T14,0.01,0.00,0.00
RI,CT,F03,T03,20.37,2.33,0.08
ME,NY,F05,T14,0.54,0.04,0.01
UT,SC,F06,T03,4.82,3.31,3.53
LA,UT,F07,T03,0.18,0.05,0.05
IL,NE,F09,T03,3.34,0.16,0.04
CA,LA,F03,T03,342.17,90.68,94.19
AL,CT,F05,T03,84.28,78.29,42.67
MI,MS,F06,T03,273.64,128.94,45.78
MO,LA,F02,T07,707.63,2600.70,1134.58
WI,WA,F07,T03,56.29,97.34,99.05
IL,NE,F07,T03,23.34,80.50,20.42
NE,WA,F04,T06,1.43,1.17,1.13
MD,OH,F02,T03,0.93,7.41,1.53
ME,MN,F07,T03,0.45,0.33,0.28
MS,LA,F03,T03,2.44,3.15,0.25
TN,GA,F07,T03,1282.00,2336.10,236.53
OR,NE,F07,T03,0.04,0.03,0.02
AZ,RI,F07,T14,1.80,0.10,0.12
OH,WV,F02,T03,0.39,3.02,0.18
WI,AZ,F04,T03,13.75,4.57,4.29
NC,VA,F03,T00,0.27,0.29,0.06
NJ,FL,F05,T03,155.89,75.48,43.36
UT,MA,F07,T03,42.05,10.34,12.27
NJ,IL,F08,T03,21.13,6.33,2.55
TX,AL,F04,T00,30.24,156.21,93.33
MN,PA,F04,T14,2.91,0.85,0.48
NV,IA,F07,T03,6.72,1.90,1.61
PA,IA,F09,T14,3.01,0.19,0.09
CA,HI,F07,T07,24.38,58.48,72.57
OR,OH,F03,T03,76.06,90.88,114.17
DE,ME,F05,T03,59.59,47.38,12.59
NC,MN,F02,T14,1.09,0.09,0.05
MI,IL,F07,T03,1054.41,2258.99,338.22
NJ,CA,F07,T00,101.49,92.55,138.10
MO,WI,F07,T14,4.21,0.11,0.03
MS,NC,F00,T00,0.00,0.00,0.00
CO,IL,F00,T00,78.48,167.58,92.59
TN,CO,F07,T14,19.35,0.76,0.44
CO,TX,F07,T14,8.49,2.55,1.41
SD,OK,F07,T14,0.01,0.00,0.00
IL,NH,F07,T14,0.51,0.09,0.05
NE,MT,F04,T03,8.10,19.99,6.55
NH,ME,F07,T14,0.02,0.00,0.00
WY,NE,F07,T03,19.40,41.17,1.10
KY,TN,F02,T03,3.06,23.44,1.10
WV,MI,F07,T03,0.82,1.54,0.23
IN,OH,F02,T03,55.51,408.83,10.04
WI,MI,F08,T00,7.12,33.51,7.49
KY,UT,F04,T03,9.21,3.97,3.38
NY,SC,F05,T03,9.81,3.84,1.38
AR,SC,F06,T03,7.91,8.64,3.82
MO,LA,F06,T03,44.80,56.98,23.89
IN,MI,F04,T03,152.73,479.43,42.85
CA,NJ,F08,T00,47.21,81.18,135.64
CT,KY,F07,T14,5.16,1.75,0.70
DE,MO,F07,T03,6.88,2.83,1.28
KY,IN,F09,T03,47.34,2.19,0.23
OH,TX,F03,T03,8.81,73.58,44.22
NC,TX,F07,T06,26.44,41.84,30.69
TN,AR,F08,T03,1.00,0.25,0.06
GA,AZ,F03,T03,1.09,2.49,2.57
VA,NE,F05,T03,4.95,0.09,0.06
KS,CA,F05,T03,858.65,307.80,202.66
OH,OH,F06,T06,2.81,13.72,1.42
FL,FL,F02,T03,2241.63,14327.94,616.50
WI,FL,F07,T06,19.76,40.18,28.25
ND,MN,F04,T03,57.45,495.27,46.31
FL,OK,F07,T03,53.00,44.32,30.71
IN,RI,F07,T03,1.88,3.29,1.47
CA,CT,F05,T03,9.74,1.21,1.72
KS,FL,F04,T00,4.51,3.13,2.33
ME,LA,F04,T14,0.67,0.11,0.10
WV,SD,F09,T14,0.06,0.01,0.01
KS,MS,F07,T14,0.02,0.00,0.00
NY,MN,F03,T03,673.62,216.05,139.70
MO,KY,F07,T14,0.86,0.07,0.01
WA,WY,F07,T14,0.11,0.02,0.01
GA,FL,F05,T00,9.09,11.52,4.02
OH,IN,F05,T14,0.78,0.20,0.04
TN,SC,F06,T03,156.27,175.16,28.65
MO,NH,F07,T14,0.53,0.02,0.01
CA,FL,F08,T00,187.19,340.84,524.80
IA,IN,F07,T14,0.10,0.01,0.00
KY,WA,F05,T14,0.03,0.01,0.01
HI,UT,F07,T14,0.12,0.02,0.03
VA,MN,F07,T03,1.39,0.76,0.44
VT,OH,F04,T03,1.68,4.53,1.45
FL,PA,F05,T03,75.43,17.60,10.38
OH,VA,F03,T06,106.38,487.27,159.82
VA,ME,F07,T03,60.89,27.46,13.27
TX,AR,F07,T03,223.26,780.02,144.45
MN,IL,F03,T03,266.95,616.89,104.90
IL,NY,F00,T00,0.01,0.00,0.00
OH,OR,F03,T14,0.02,0.00,0.00
NY,FL,F09,T03,15.29,0.89,0.55
GA,MI,F06,T03,64.22,62.08,24.47
ME,ME,F05,T03,431.97,115.53,8.16
FL,FL,F07,T03,14662.48,31534.39,1038.49
PA,MO,F05,T03,3.85,1.55,0.81
WA,SD,F07,T14,0.01,0.00,0.00
IL,MI,F07,T14,2.46,0.63,0.09
MA,RI,F06,T14,0.00,0.00,0.00
IN,OK,F07,T14,0.33,0.01,0.00
CA,WI,F03,T14,5.48,0.53,0.57
UT,GA,F08,T03,0.45,0.54,0.53
HI,VT,F03,T14,0.00,0.00,0.00
PA,KS,F04,T03,5.51,1.87,1.19
OR,CO,F06,T03,5.91,6.98,4.45
OR,ID,F02,T03,0.34,1.37,0.01
FL,IN,F08,T03,26.09,18.66,8.35
WI,OH,F07,T00,0.25,0.72,0.15
ID,VA,F03,T14,2.85,0.01,0.01
OH,PA,F08,T03,153.98,332.40,60.47
NH,VA,F08,T03,1.48,2.54,0.84
CA,SC,F06,T14,0.03,0.00,0.00
MT,FL,F07,T03,0.33,0.05,0.06
NC,UT,F05,T03,2.34,1.03,1.17
AK,AK,F07,T00,4.24,6.00,0.64
IA,MN,F04,T14,0.66,0.17,0.02
HI,HI,F08,T03,557.35,307.20,2.86
KY,WV,F04,T03,10.45,44.55,9.94
AR,VA,F08,T03,7.29,3.40,1.93
OH,IL,F00,T00,116.32,66.14,15.61
AR,LA,F02,T00,22.03,174.75,40.98
NE,GA,F06,T03,139.96,133.93,67.35
MD,DE,F06,T03,62.67,121.65,3.66
IA,NE,F07,T03,350.34,1343.48,86.62
FL,NJ,F07,T11,0.66,0.01,0.01
VA,NC,F08,T14,0.12,0.02,0.00
ID,OR,F02,T03,7.95,7.18,2.02
KS,UT,F06,T03,5.78,11.08,5.61
OH,NH,F07,T03,34.06,33.90,14.44
MA,SD,F07,T14,0.07,0.05,0.04
CT,MA,F00,T00,7.18,3.23,0.03
VA,OH,F00,T00,0.02,0.00,0.00
MS,AR,F00,T00,25.48,14.48,2.29
SC,MS,F06,T03,8.32,18.05,6.47
KS,ND,F05,T14,0.78,0.11,0.04
MN,ND,F03,T03,89.09,129.35,21.56
FL,FL,F04,T03,1456.13,5893.83,238.79
GA,PA,F03,T06,30.69,31.71,19.60
WV,NJ,F07,T14,0.01,0.00,0.00
OR,NY,F08,T03,1.74,0.23,0.34
NY,OR,F08,T14,0.06,0.01,0.01
MN,GA,F04,T03,10.75,7.38,4.25
NC,IL,F00,T00,25.53,87.61,39.07
MN,MN,F04,T03,2997.76,16709.96,410.52
MT,AZ,F02,T06,153.93,738.86,1015.57
MI,CO,F07,T14,0.05,0.01,0.01
AR,MO,F03,T00,379.88,1338.31,398.77
MT,WY,F07,T14,0.00,0.00,0.00
AL,SC,F07,T03,77.88,152.18,25.19
NM,AL,F03,T03,18.35,16.38,9.04
NY,FL,F00,T00,5.57,8.37,6.46
WA,MI,F07,T03,8.37,11.15,12.89
CO,OH,F05,T03,129.97,47.87,28.88
OR,NY,F03,T11,0.29,0.06,0.09
TX,LA,F08,T03,171.17,317.67,47.82
IL,TN,F01,T03,2.70,2.54,0.43
TX,UT,F03,T03,8.19,8.30,7.82
WA,RI,F03,T03,1.76,0.99,1.52
LA,DE,F07,T03,0.21,0.34,0.22
ID,NJ,F03,T03,3.89,24.23,27.46
MO,KS,F00,T00,6.87,55.40,8.25
MS,WY,F05,T03,0.04,0.03,0.02
WV,AL,F09,T14,0.18,0.03,0.01
MA,NH,F04,T03,1.34,1.61,0.10
GA,KY,F03,T00,191.46,230.70,71.11
WY,WY,F02,T03,2.72,3.24,0.03
OR,MA,F00,T00,0.03,0.00,0.01
IL,NV,F07,T14,0.40,0.03,0.03
CA,FL,F09,T03,9.99,0.21,0.29
UT,WA,F03,T03,3.22,0.81,0.36
WA,OH,F07,T06,6.20,3.67,4.76
MI,FL,F05,T03,52.84,23.63,15.77
AR,GA,F07,T14,0.45,0.03,0.01
NE,NE,F04,T00,1.72,4.58,0.10
NJ,RI,F05,T03,1.13,0.98,0.16
KY,NH,F08,T03,33.46,13.33,6.82
PA,KY,F09,T14,0.92,0.05,0.02
MN,CA,F08,T03,29.26,17.22,17.38
TX,IA,F06,T03,9.93,2.80,1.28
MI,OH,F03,T14,2.81,0.78,0.16
NH,MI,F04,T14,0.37,0.10,0.05
AL,IL,F09,T14,0.14,0.00,0.00
OH,VT,F04,T03,6.57,57.39,22.72
ME,UT,F03,T14,0.19,0.01,0.02
NJ,TN,F03,T14,0.05,0.01,0.00
KS,DE,F01,T03,0.08,0.00,0.00
WI,IA,F06,T03,144.36,154.87,17.38
OH,UT,F03,T14,2.20,0.10,0.09
TN,IN,F05,T03,347.75,175.51,31.45
IA,WY,F04,T06,0.13,26.35,10.35
CA,VA,F07,T03,286.39,321.34,445.00
AL,NV,F09,T14,0.21,0.01,0.01
MD,AZ,F07,T03,0.41,0.02,0.03
MA,NJ,F06,T03,17.96,8.48,1.01
ID,ID,F04,T03,409.34,5123.62,358.31
OR,OK,F06,T03,0.51,0.46,0.49
WA,MI,F03,T03,37.88,45.43,50.08
MN,IL,F06,T14,0.02,0.01,0.00
NJ,PA,F09,T03,42.12,0.75,0.01
OH,FL,F03,T11,8.84,0.60,0.29
MO,IL,F07,T11,2.04,0.13,0.05
SD,KY,F07,T03,17.09,7.30,3.50
ME,GA,F03,T03,1.14,8.10,5.99
FL,TX,F09,T03,300.81,99.10,50.38
NH,KY,F08,T03,5.99,2.81,1.43
WV,OK,F09,T03,0.60,0.08,0.05
UT,CA,F06,T00,31.16,133.56,58.94
OR,AL,F03,T03,0.70,0.23,0.33
KS,KY,F06,T00,9.55,49.24,21.26
MO,TN,F00,T00,8.96,0.50,0.30
IN,MD,F04,T06,0.72,1.20,0.57
OK,CO,F05,T03,19.87,18.25,4.96
ID,NE,F07,T14,3.23,0.17,0.10
NE,NY,F05,T03,777.88,291.59,193.19
KY,CA,F08,T03,26.33,12.37,14.42
VA,OR,F08,T03,0.08,0.03,0.05
MT,KS,F07,T14,0.01,0.00,0.00
CA,NY,F03,T14,29.41,0.54,0.76
IL,NV,F03,T14,9.73,0.84,0.78
OH,CT,F07,T14,5.17,0.39,0.11
MO,MO,F02,T03,1281.44,8824.34,179.80
MO,IL,F09,T14,1.07,0.04,0.01
IL,CA,F07,T06,38.43,55.28,60.71
TN,IL,F07,T03,707.96,945.63,243.08
IN,NJ,F02,T03,8.24,64.24,23.29
SD,IA,F08,T03,1.70,4.28,0.28
NJ,ME,F06,T14,0.03,0.00,0.00
WI,KS,F09,T14,0.10,0.00,0.00
MT,WA,F04,T14,0.05,0.00,0.00
OK,MO,F02,T03,3.80,34.16,2.05
MO,IL,F07,T03,661.08,2854.49,332.32
KS,TX,F07,T06,84.48,322.15,111.07
TN,MS,F07,T14,17.17,0.35,0.03
NM,TX,F09,T03,0.20,0.01,0.00
IL,MO,F07,T14,0.13,0.03,0.00
NE,PA,F07,T06,23.75,197.09,136.09
CO,ID,F03,T03,3.77,6.92,2.52
NC,NC,F01,T14,0.86,0.18,0.00
NJ,LA,F08,T03,2.74,1.09,0.75
NY,NV,F08,T03,3.50,5.14,6.20
IA,PA,F04,T14,0.00,0.00,0.00
NJ,WI,F07,T03,189.65,166.35,82.15
VT,AZ,F07,T03,3.78,1.18,1.59
VT,NH,F07,T14,1.89,0.35,0.03
MO,MO,F08,T03,2111.56,2199.51,57.29
WI,PA,F06,T14,0.01,0.00,0.00
TX,NE,F01,T03,30.71,17.72,6.43
WI,NE,F05,T03,20.44,19.20,5.66
GA,TX,F08,T03,254.85,508.52,205.38
AZ,CA,F05,T03,338.77,178.35,40.31
NJ,NJ,F03,T03,3046.19,3609.30,91.44
WY,LA,F09,T03,0.10,0.01,0.01
AR,WI,F08,T03,1.61,0.75,0.32
MI,MN,F08,T03,5.31,7.47,2.11
MI,UT,F05,T03,1.95,0.47,0.37
CT,MN,F08,T03,0.15,0.18,0.12
CO,WI,F00,T00,0.00,0.00,0.00
AZ,NJ,F07,T14,11.65,0.66,0.79
PA,MA,F00,T00,0.04,0.02,0.00
IN,AL,F04,T03,22.32,47.14,9.00
UT,AK,F07,T14,0.54,0.02,0.02
IL,NV,F07,T03,11.15,8.80,7.76
MI,CT,F04,T03,17.93,35.63,15.45
AZ,AZ,F08,T03,2543.51,2592.40,35.69
IA,MS,F07,T03,1.11,0.84,0.44
OH,AL,F05,T03,14.42,21.00,6.03
WV,TN,F05,T03,9.46,6.40,1.69
AR,NJ,F07,T14,0.49,0.04,0.02
TN,CT,F07,T03,27.09,107.35,50.67
OR,ID,F06,T03,49.57,66.78,14.12
MT,CA,F04,T06,7.42,92.15,87.40
IL,CA,F09,T03,250.35,8.31,8.42
AL,OK,F05,T03,15.41,14.84,6.58
HI,NY,F03,T11,0.62,0.04,0.09
IL,LA,F03,T06,15.62,83.42,36.70
WA,MD,F08,T03,3.28,7.44,10.24
NV,TX,F07,T14,0.06,0.01,0.00
IL,IN,F07,T03,826.40,2061.95,144.35
IL,ID,F07,T03,1.48,0.54,0.44
NY,LA,F03,T03,27.21,48.60,33.10
TX,TX,F09,T03,1670.67,176.54,19.73
DE,AL,F07,T14,0.01,0.00,0.00
AZ,MN,F07,T03,44.53,32.21,28.50
NJ,OH,F06,T14,0.10,0.02,0.01
MS,GA,F07,T14,4.95,1.81,0.38
IN,WI,F04,T00,10.03,6.97,1.26
WA,DE,F03,T03,145.98,18.02,25.12
UT,IN,F07,T14,1.00,0.13,0.10
SD,OK,F06,T03,27.92,21.83,7.49
GA,CO,F03,T03,4.91,4.09,3.26
DC,DC,F03,T03,62.55,48.08,0.05
AR,IL,F05,T03,115.79,64.02,19.34
MT,OR,F00,T00,19.60,55.99,33.62
WI,OR,F07,T11,0.01,0.00,0.00
SD,WY,F03,T03,1.77,0.16,0.04
CT,MO,F08,T03,0.97,0.76,0.49
WI,KS,F07,T03,80.29,66.11,19.57
NH,GA,F05,T14,0.00,0.00,0.00
IL,AR,F09,T03,54.36,2.83,0.79
NE,AZ,F07,T06,153.19,656.26,561.44
NY,NV,F09,T03,5.37,0.25,0.29
ID,OH,F07,T03,99.06,241.75,216.07
HI,HI,F07,T00,214.05,217.97,21.00
MT,NJ,F04,T14,0.30,0.04,0.04
ND,MD,F07,T06,9.87,57.63,44.03
IN,OH,F04,T03,298.30,1234.48,34.26
NE,ID,F02,T06,154.31,1353.62,693.79
RI,FL,F05,T14,0.01,0.00,0.00
MN,NY,F04,T14,1.43,0.61,0.39
TX,MT,F07,T03,78.75,106.94,106.39
IA,IL,F04,T03,854.46,2838.90,154.36
FL,IN,F03,T03,37.36,35.49,18.85
TX,GA,F07,T14,4.78,1.80,0.98
MT,SD,F04,T14,0.00,0.00,0.00
MN,MT,F06,T03,11.64,15.36,6.79
TX,NJ,F02,T03,37.01,43.88,35.98
OH,VT,F07,T03,84.73,56.01,22.20
MD,CA,F07,T03,293.30,158.21,226.64
AR,AL,F04,T03,17.95,7.25,1.84
MO,OH,F05,T03,94.37,62.21,18.91
ID,GA,F00,T00,11.39,53.85,69.61
HI,KS,F05,T11,0.57,0.05,0.10
IL,OK,F03,T14,0.67,0.00,0.00
ME,PA,F07,T14,1.66,0.13,0.03
NY,MD,F06,T03,69.01,49.82,7.26
ND,ID,F07,T03,10.97,31.63,18.54
SC,TN,F03,T14,0.04,0.00,0.00
WY,WI,F09,T14,0.01,0.00,0.00
SD,OR,F07,T00,35.47,63.22,60.18
MS,MO,F03,T03,0.11,0.04,0.01
IL,LA,F04,T00,7.05,58.16,28.91
MI,MA,F06,T03,32.63,16.74,6.96
NE,MT,F05,T03,3.45,1.86,1.19
GA,NC,F03,T14,1.34,0.16,0.04
IA,CT,F07,T03,15.97,5.53,3.35
IA,OR,F07,T00,52.50,82.46,74.09
CA,SC,F08,T03,55.44,58.72,80.48
MT,CO,F06,T00,24.20,119.49,58.19
KY,MO,F09,T14,0.97,0.09,0.02
PA,LA,F09,T14,2.31,0.03,0.02
CO,ND,F02,T06,153.00,503.12,322.75
IN,AL,F07,T06,95.23,401.38,87.30
UT,NV,F05,T03,31.24,8.97,2.25
