Source,Target,FoodCate,TransMode,ShipValue,ShipWeight,TonMiles
ID,VA,F07,T14,1.06,0.04,0.05
HI,HI,F04,T05,108.11,102.33,0.62
CA,MD,F05,T11,8.86,1.16,1.37
KS,NE,F05,T05,9.78,3.89,0.68
CO,UT,F03,T14,0.00,0.00,0.00
MI,WV,F07,T04,5.01,11.29,2.39
CA,TX,F05,T11,25.18,3.33,2.24
MO,TX,F04,T05,0.71,2.22,0.50
MI,MI,F03,T14,4.41,0.39,0.03
MA,NY,F00,T00,18.08,9.57,1.14
AZ,OR,F04,T04,3.02,8.26,5.33
IN,IN,F02,T04,1937.82,8381.01,158.82
NY,OR,F09,T14,0.67,0.02,0.03
IL,VT,F03,T14,1.64,0.07,0.04
IN,NC,F07,T04,107.05,248.75,79.60
NY,ND,F08,T04,1.91,2.73,1.72
CA,OH,F04,T14,0.14,0.02,0.03
MO,NC,F04,T04,8.53,41.10,19.33
OR,KS,F03,T04,4.47,5.98,5.70
MO,NE,F09,T05,13.62,0.49,0.03
CO,IL,F04,T14,0.09,0.13,0.05
IN,IL,F04,T00,237.22,870.20,58.30
ME,AL,F03,T14,0.07,0.00,0.00
TX,TX,F04,T14,5.51,7.06,0.80
VA,MT,F08,T04,1.55,1.33,1.35
NH,TN,F04,T14,0.42,0.07,0.05
MA,TX,F04,T14,15.18,3.33,3.06
PA,VA,F07,T14,16.06,1.83,0.30
MD,MI,F00,T00,9.05,7.24,2.33
MA,UT,F06,T04,10.73,3.91,4.68
VA,MN,F08,T04,8.66,5.49,3.30
SC,NC,F06,T04,54.27,87.40,7.81
KS,MS,F07,T04,34.15,23.96,8.81
MD,VA,F08,T04,16.58,11.80,0.89
VA,MD,F06,T04,121.61,162.07,9.67
PA,MA,F03,T04,67.38,73.89,12.29
MT,ID,F02,T06,30.31,259.80,110.80
MN,TX,F06,T14,0.04,0.01,0.01
NC,OR,F05,T04,27.61,45.57,67.07
AR,UT,F07,T14,0.32,0.02,0.02
OH,OH,F07,T14,25.41,4.12,0.15
KY,CO,F04,T04,1.06,0.47,0.29
VT,CO,F07,T04,69.69,5.49,5.35
GA,MS,F03,T04,43.00,51.53,10.60
OK,KY,F04,T04,3.34,7.07,3.18
SD,KY,F00,T00,13.01,39.03,22.62
OH,CA,F06,T06,0.94,4.60,6.01
SD,IN,F06,T04,14.63,14.16,4.99
HI,HI,F07,T11,20.57,1.22,0.13
ME,TX,F06,T04,0.25,0.09,0.10
MO,IA,F09,T04,12.29,0.46,0.11
IA,MA,F04,T04,0.01,0.00,0.00
AZ,MO,F03,T04,7.28,26.51,19.39
AL,CO,F06,T04,0.04,0.03,0.02
OR,IL,F07,T00,5.49,4.88,5.72
WI,KS,F09,T14,0.10,0.00,0.00
ID,AL,F03,T00,3.36,15.90,16.54
MS,MS,F05,T05,851.61,657.01,16.83
IL,NH,F09,T04,1.01,0.06,0.03
FL,AR,F07,T04,31.89,29.18,16.59
MI,IL,F09,T05,107.41,5.92,0.55
OH,AL,F00,T00,265.05,1112.01,357.51
OH,VA,F05,T05,3.43,1.44,0.27
KS,NE,F02,T04,77.89,714.59,66.57
MN,NY,F06,T04,17.99,24.71,14.15
MI,ME,F05,T04,6.40,2.19,1.04
MS,AR,F06,T04,14.73,9.29,1.07
TX,MS,F08,T04,25.91,38.43,9.92
IA,UT,F06,T04,28.87,26.99,15.54
NE,MO,F07,T06,85.58,151.48,22.57
SC,NC,F09,T05,10.36,0.31,0.02
CO,NE,F04,T14,0.12,0.04,0.01
NH,PA,F07,T14,0.21,0.05,0.01
VA,MO,F05,T04,39.19,22.29,10.98
UT,SD,F03,T04,4.36,2.25,0.77
WY,AZ,F07,T14,0.36,0.04,0.03
VT,NH,F07,T05,50.61,37.66,1.46
PA,RI,F07,T14,1.67,0.22,0.03
MN,MO,F05,T14,0.61,0.02,0.01
MO,IA,F06,T04,33.26,124.70,13.20
WV,IN,F07,T05,19.80,10.65,1.68
NY,GA,F09,T04,3.93,0.41,0.20
IL,IA,F07,T14,3.26,5.93,1.00
CA,NC,F09,T04,4.90,0.11,0.13
MD,DE,F03,T04,9.35,38.27,0.77
PA,PA,F03,T05,1261.36,2723.92,22.00
NH,NY,F07,T04,55.71,121.87,22.41
IN,PA,F04,T04,30.65,78.93,25.10
KS,MS,F07,T06,42.82,175.36,74.30
NJ,WA,F04,T04,11.10,36.39,54.26
MT,IL,F04,T14,0.48,0.05,0.03
OK,SD,F06,T14,0.01,0.00,0.00
GA,NC,F01,T05,4.77,1.66,0.25
CT,RI,F07,T04,9.19,24.75,0.88
NJ,IN,F08,T04,0.93,0.46,0.17
NJ,NY,F03,T05,555.75,618.70,22.82
SC,TX,F07,T04,18.54,25.94,14.13
OR,WY,F08,T04,0.79,1.59,0.63
TX,MO,F03,T14,9.29,2.35,0.99
MN,KY,F03,T04,1.15,0.31,0.11
WV,WV,F00,T00,0.12,0.10,0.00
AZ,NY,F05,T04,4.62,1.26,1.53
CA,NE,F04,T14,0.26,0.03,0.03
WA,OH,F07,T14,0.07,0.02,0.02
WI,KY,F03,T14,0.01,0.00,0.00
DE,NY,F05,T04,179.22,186.56,26.42
KS,OH,F07,T04,68.12,74.04,25.96
VA,VA,F06,T05,97.67,314.34,10.70
FL,OR,F08,T04,0.00,0.00,0.00
WI,MS,F07,T04,41.68,43.37,17.60
NC,AR,F03,T04,0.93,6.53,3.61
RI,FL,F05,T04,2.49,2.83,1.95
NY,FL,F05,T04,205.98,54.22,33.16
MN,AL,F05,T04,29.78,26.40,14.52
OR,OR,F07,T04,517.59,1183.50,35.13
NY,RI,F07,T04,14.42,16.93,2.25
LA,TN,F03,T04,11.72,32.14,7.33
SC,NJ,F06,T04,13.56,11.97,4.32
