Source,Target,FoodCate,TransMode,ShipValue,ShipWeight,ShipTonMile
CA,AL,F03,T00,108.00,176.00,234.00
WV,NJ,F05,T03,21.00,32.00,5.00
TX,OH,F05,T00,423.00,278.00,163.00
AK,AK,F07,T03,153.00,386.00,7.00
NE,IA,F07,T03,110.00,600.00,38.00
UT,UT,F07,T00,2189.00,3484.00,123.00
KS,CA,F05,T03,1351.00,1004.00,764.00
IA,OK,F04,T03,242.00,1016.00,363.00
VT,IL,F07,T00,39.00,40.00,19.00
KS,MO,F05,T03,1036.00,612.00,95.00
VA,NC,F03,T03,342.00,218.00,15.00
NC,IL,F09,T00,57.00,4.00,2.00
CA,MA,F08,T03,88.00,110.00,170.00
MN,TX,F05,T03,720.00,878.00,523.00
WA,CO,F07,T00,18.00,28.00,17.00
OH,TN,F06,T00,282.00,494.00,110.00
IL,TX,F08,T06,53.00,284.00,192.00
AR,CA,F05,T03,760.00,1212.00,1007.00
OK,WI,F06,T00,4.00,22.00,9.00
IA,PA,F04,T00,68.00,446.00,230.00
ND,WA,F04,T00,14.00,310.00,244.00
IL,IN,F08,T03,340.00,1718.00,146.00
TX,SC,F06,T00,9.00,36.00,20.00
WA,CA,F08,T00,77.00,110.00,51.00
NJ,FL,F06,T00,70.00,72.00,42.00
MA,VA,F07,T03,114.00,220.00,62.00
ID,WA,F06,T03,70.00,132.00,26.00
KY,FL,F08,T03,144.00,80.00,34.00
WV,TX,F05,T03,42.00,48.00,31.00
PA,GA,F07,T03,555.00,672.00,246.00
KY,AL,F08,T03,46.00,36.00,8.00
MD,MI,F07,T03,76.00,128.00,36.00
TX,CA,F05,T00,1163.00,930.00,613.00
TN,CA,F07,T06,48.00,142.00,149.00
MN,GA,F05,T00,81.00,72.00,43.00
NE,IL,F05,T00,1416.00,862.00,234.00
KS,AL,F06,T00,29.00,50.00,19.00
CA,TX,F06,T00,627.00,680.00,525.00
VT,CT,F07,T00,54.00,124.00,16.00
OK,OK,F04,T03,31.00,358.00,20.00
SD,SD,F08,T00,161.00,272.00,6.00
KS,MA,F06,T00,14.00,18.00,13.00
CT,MA,F07,T03,700.00,1244.00,35.00
NC,AL,F07,T03,141.00,268.00,68.00
IL,MI,F07,T03,713.00,1618.00,253.00
MS,GA,F06,T00,75.00,286.00,61.00
CT,CA,F07,T03,150.00,84.00,118.00
HI,HI,F05,T00,128.00,64.00,1.00
NJ,ME,F07,T03,96.00,224.00,45.00
ID,FL,F03,T00,136.00,470.00,610.00
KY,GA,F06,T03,107.00,86.00,17.00
WI,IL,F06,T00,213.00,222.00,12.00
NY,MI,F07,T03,468.00,622.00,133.00
NJ,NJ,F07,T03,5652.00,11038.00,187.00
MS,MS,F08,T00,617.00,732.00,12.00
KS,CA,F06,T03,328.00,452.00,378.00
WV,OH,F05,T00,23.00,20.00,3.00
CA,AL,F07,T06,144.00,230.00,288.00
NY,MN,F07,T00,26.00,32.00,16.00
GA,AL,F07,T03,646.00,1748.00,135.00
ND,MI,F07,T06,12.00,94.00,45.00
NE,MN,F07,T03,34.00,96.00,16.00
VA,SC,F08,T03,380.00,1064.00,215.00
CO,CO,F07,T03,4081.00,9934.00,126.00
WA,OR,F07,T00,592.00,1142.00,107.00
