Source,Target,FoodCate,TransMode,ShipValue,ShipWeight,ShipTonMile
NJ,MO,F08,T00,48.00,70.00,39.00
ID,GA,F03,T03,94.00,366.00,369.00
DE,AZ,F05,T03,6.00,28.00,36.00
IA,IA,F08,T03,1064.00,2144.00,40.00
NC,NC,F05,T00,1864.00,1688.00,49.00
AL,NC,F05,T03,280.00,246.00,67.00
NV,TX,F07,T03,102.00,68.00,40.00
ND,CA,F04,T06,29.00,430.00,442.00
OR,CA,F04,T03,109.00,960.00,384.00
CA,UT,F07,T00,520.00,722.00,257.00
AR,VA,F05,T00,125.00,116.00,59.00
CA,NE,F07,T03,48.00,94.00,76.00
FL,AZ,F07,T03,16.00,20.00,20.00
TN,TX,F07,T00,387.00,718.00,253.00
MO,GA,F05,T03,160.00,192.00,71.00
PA,AL,F09,T00,8.00,2.00,1.00
VA,CA,F05,T03,87.00,92.00,125.00
MA,MA,F05,T00,1721.00,636.00,10.00
WI,IN,F07,T03,862.00,1548.00,279.00
VT,VT,F04,T00,165.00,1464.00,20.00
WA,KY,F03,T00,11.00,36.00,42.00
GA,DE,F05,T00,55.00,58.00,19.00
NC,NJ,F05,T00,337.00,510.00,143.00
LA,MS,F07,T03,40.00,100.00,9.00
MT,MT,F07,T03,666.00,2134.00,54.00
GA,MS,F08,T03,178.00,448.00,88.00
HI,HI,F08,T00,264.00,208.00,3.00
NC,CA,F09,T00,28.00,2.00,2.00
ND,MN,F07,T03,246.00,1228.00,114.00
ID,MO,F03,T03,22.00,68.00,46.00
CA,AZ,F05,T03,307.00,356.00,78.00
NY,CT,F07,T00,217.00,392.00,47.00
TN,TN,F07,T00,2879.00,7410.00,237.00
TX,TN,F05,T00,167.00,110.00,43.00
IA,OH,F04,T03,97.00,196.00,42.00
NY,NY,F08,T00,4008.00,5186.00,75.00
IL,CA,F07,T00,1412.00,1852.00,1945.00
CA,CO,F08,T03,209.00,154.00,92.00
KS,TX,F01,T00,3.00,10.00,1.00
IN,IN,F05,T03,238.00,180.00,4.00
PA,NJ,F07,T03,872.00,2530.00,164.00
TX,AL,F05,T03,306.00,302.00,147.00
CA,IL,F07,T06,210.00,518.00,584.00
TX,OK,F05,T03,217.00,206.00,37.00
HI,HI,F07,T07,354.00,796.00,82.00
CA,CT,F08,T00,39.00,42.00,66.00
AL,TX,F05,T03,175.00,302.00,127.00
VT,GA,F07,T00,36.00,30.00,17.00
MI,MI,F08,T03,6168.00,9648.00,120.00
NY,PA,F04,T03,99.00,226.00,24.00
PA,AL,F06,T03,96.00,160.00,68.00
NM,IL,F07,T00,28.00,24.00,16.00
WI,MN,F06,T03,241.00,362.00,58.00
NJ,OH,F07,T00,277.00,414.00,102.00
KY,OH,F07,T00,530.00,1262.00,97.00
TN,LA,F07,T00,164.00,384.00,83.00
IL,IA,F08,T03,70.00,392.00,36.00
AZ,AZ,F08,T00,1319.00,1398.00,9.00
NE,NE,F07,T00,631.00,1646.00,52.00
TN,GA,F03,T03,161.00,280.00,58.00
GA,OH,F08,T00,39.00,94.00,34.00
OK,KY,F05,T00,28.00,20.00,8.00
IL,LA,F02,T00,2080.00,51198.00,31096.00
LA,IL,F07,T06,44.00,154.00,77.00
MI,PA,F07,T06,90.00,142.00,58.00
MN,OK,F05,T00,63.00,60.00,22.00
MO,OH,F06,T03,185.00,256.00,79.00
FL,GA,F05,T00,265.00,228.00,36.00
WV,NY,F05,T03,22.00,34.00,6.00
AL,LA,F07,T03,85.00,194.00,38.00
IL,OH,F07,T03,1457.00,3656.00,626.00
LA,LA,F08,T00,1182.00,1174.00,15.00
CA,MI,F08,T00,107.00,80.00,96.00
KY,AL,F07,T03,29.00,114.00,20.00
CO,TX,F05,T00,461.00,380.00,189.00
FL,TN,F07,T06,49.00,218.00,100.00
IL,TN,F05,T03,132.00,86.00,21.00
CA,NJ,F07,T06,99.00,352.00,562.00
TN,TN,F05,T00,1340.00,1154.00,49.00
NV,WA,F07,T00,76.00,126.00,72.00
KS,KY,F05,T00,64.00,62.00,28.00
KS,MI,F06,T03,68.00,128.00,46.00
FL,FL,F03,T00,1440.00,4180.00,160.00
WI,TN,F07,T03,510.00,666.00,221.00
MS,KS,F01,T03,86.00,88.00,38.00
VA,MD,F08,T00,101.00,194.00,14.00
LA,LA,F02,T07,13530.00,295438.00,5321.00
FL,AL,F07,T03,101.00,194.00,59.00
FL,FL,F04,T03,315.00,4790.00,304.00
MO,WI,F06,T00,49.00,180.00,56.00
MD,MA,F07,T03,330.00,456.00,94.00
OR,WA,F04,T00,308.00,3188.00,245.00
NY,NE,F07,T03,36.00,48.00,24.00
NH,NY,F08,T00,31.00,88.00,14.00
NH,MA,F08,T03,460.00,1232.00,36.00
IL,TX,F06,T00,175.00,438.00,233.00
FL,SC,F07,T00,77.00,128.00,31.00
TX,OH,F07,T03,316.00,612.00,316.00
OR,GA,F07,T00,50.00,104.00,141.00
PA,MA,F06,T00,143.00,152.00,27.00
IN,TX,F07,T03,160.00,278.00,143.00
CA,WA,F08,T03,381.00,750.00,368.00
PA,NY,F06,T00,357.00,432.00,39.00
IL,FL,F06,T03,106.00,136.00,78.00
NY,MA,F07,T00,373.00,828.00,116.00
MD,MD,F05,T03,3030.00,1762.00,27.00
PA,MA,F06,T03,280.00,298.00,53.00
TN,TN,F03,T00,789.00,1068.00,20.00
AZ,AZ,F05,T03,896.00,734.00,8.00
GA,CA,F05,T00,191.00,250.00,287.00
IL,MN,F06,T00,76.00,232.00,64.00
GA,FL,F07,T03,2206.00,4074.00,862.00
AR,MO,F05,T00,396.00,388.00,50.00
TX,MS,F07,T03,80.00,144.00,34.00
ND,NM,F04,T00,18.00,336.00,271.00
FL,FL,F03,T03,1604.00,5174.00,224.00
MI,PA,F06,T00,121.00,138.00,43.00
GA,TN,F07,T03,928.00,1880.00,258.00
NV,WA,F07,T03,152.00,252.00,143.00
NV,NV,F07,T00,1131.00,2448.00,24.00
FL,GA,F08,T00,199.00,506.00,59.00
CA,WA,F03,T03,380.00,584.00,305.00
IL,UT,F07,T00,40.00,38.00,26.00
VA,TX,F07,T00,91.00,90.00,57.00
WI,OK,F07,T03,174.00,80.00,38.00
VA,TX,F04,T00,5.00,106.00,79.00
WA,OR,F02,T00,291.00,4810.00,644.00
MA,FL,F07,T00,15.00,22.00,14.00
NE,CO,F07,T03,39.00,96.00,24.00
MO,LA,F02,T00,370.00,8622.00,4066.00
NE,MI,F05,T03,1054.00,620.00,248.00
SC,SC,F07,T00,4051.00,6724.00,204.00
DE,NH,F05,T00,8.00,14.00,3.00
NC,DE,F05,T03,46.00,38.00,5.00
CA,KY,F07,T03,89.00,76.00,82.00
IA,PA,F07,T03,137.00,200.00,92.00
OR,GA,F07,T06,14.00,44.00,62.00
AR,NJ,F05,T03,91.00,58.00,36.00
NY,CT,F06,T03,313.00,280.00,18.00
OH,PA,F01,T00,104.00,236.00,44.00
MO,MI,F06,T03,56.00,120.00,45.00
KY,KS,F06,T00,130.00,154.00,54.00
AR,MS,F05,T03,370.00,382.00,74.00
AR,OK,F05,T03,293.00,626.00,44.00
TX,OK,F07,T03,914.00,1394.00,165.00
NY,NJ,F08,T03,62.00,142.00,12.00
CA,IA,F03,T03,81.00,154.00,138.00
GA,FL,F07,T00,1107.00,2064.00,438.00
IA,LA,F02,T00,553.00,11550.00,7543.00
AR,AR,F08,T03,1156.00,1764.00,24.00
MI,MI,F09,T03,712.00,212.00,4.00
GA,MS,F05,T03,147.00,116.00,22.00
AZ,AZ,F05,T00,456.00,376.00,4.00
PA,SC,F07,T03,26.00,56.00,18.00
MD,MD,F08,T03,1887.00,2692.00,32.00
NY,IL,F05,T03,44.00,22.00,8.00
MO,CA,F06,T03,201.00,598.00,505.00
IA,LA,F03,T07,1054.00,11144.00,7240.00
MN,FL,F06,T00,13.00,46.00,40.00
OH,MD,F07,T03,106.00,308.00,71.00
TX,AL,F05,T00,154.00,152.00,74.00
VA,NY,F05,T00,147.00,236.00,48.00
MO,NC,F07,T00,61.00,60.00,27.00
NY,NC,F08,T03,16.00,38.00,13.00
TN,FL,F09,T00,92.00,6.00,2.00
TN,SC,F07,T00,172.00,416.00,78.00
TX,AZ,F05,T00,131.00,126.00,66.00
ID,ID,F08,T03,382.00,690.00,12.00
IL,AR,F07,T00,119.00,190.00,44.00
IL,MS,F04,T06,55.00,688.00,243.00
CA,VA,F08,T03,124.00,132.00,182.00
AL,VA,F05,T00,17.00,20.00,8.00
MD,PA,F07,T00,768.00,2342.00,144.00
PA,IL,F07,T03,1147.00,720.00,260.00
IA,NC,F05,T03,170.00,216.00,114.00
MO,WI,F06,T03,34.00,122.00,36.00
IA,NY,F07,T06,37.00,400.00,167.00
ND,VA,F07,T00,16.00,64.00,49.00
TN,TX,F06,T03,137.00,166.00,48.00
AR,MO,F05,T03,656.00,672.00,94.00
OH,IL,F06,T00,337.00,528.00,95.00
LA,MO,F07,T00,909.00,586.00,246.00
TN,FL,F08,T03,300.00,720.00,250.00
NY,CT,F06,T00,206.00,164.00,10.00
MT,NJ,F07,T00,8.00,36.00,35.00
FL,SC,F05,T03,44.00,30.00,6.00
NH,NJ,F07,T00,30.00,30.00,4.00
PA,AL,F09,T03,16.00,4.00,2.00
VA,KY,F05,T03,5.00,8.00,2.00
ND,NM,F04,T06,18.00,336.00,271.00
MS,MS,F05,T00,1075.00,1892.00,68.00
AR,TN,F05,T00,65.00,42.00,10.00
CA,NV,F08,T00,118.00,288.00,54.00
TX,NC,F06,T00,36.00,72.00,43.00
CA,CA,F03,T00,19036.00,32032.00,1269.00
NE,KS,F07,T03,70.00,308.00,39.00
CA,WA,F06,T03,302.00,554.00,253.00
IN,WI,F07,T03,197.00,432.00,65.00
TX,GA,F07,T00,83.00,190.00,77.00
NY,TX,F08,T00,45.00,92.00,76.00
OK,TX,F06,T03,174.00,710.00,127.00
CO,TX,F05,T03,922.00,760.00,378.00
KY,CA,F05,T00,40.00,34.00,36.00
NC,NC,F05,T03,3550.00,3146.00,92.00
ME,NH,F06,T03,93.00,164.00,8.00
NY,PA,F04,T00,99.00,226.00,24.00
IL,NY,F06,T03,87.00,138.00,46.00
CA,CA,F08,T00,13885.00,17526.00,634.00
KY,FL,F05,T00,18.00,14.00,6.00
CA,MI,F07,T00,196.00,400.00,466.00
NC,GA,F05,T00,302.00,534.00,86.00
CA,AZ,F06,T00,159.00,160.00,34.00
MO,MN,F07,T03,122.00,260.00,68.00
CA,IA,F08,T03,18.00,16.00,12.00
CO,NE,F04,T03,12.00,220.00,40.00
MA,VT,F06,T00,39.00,58.00,5.00
IN,TN,F02,T00,102.00,2652.00,714.00
FL,FL,F04,T00,198.00,2616.00,169.00
OH,OH,F02,T00,318.00,7582.00,229.00
LA,LA,F08,T03,2364.00,2348.00,30.00
TX,TX,F02,T03,2381.00,41906.00,1332.00
FL,MA,F07,T03,170.00,456.00,320.00
ID,CA,F05,T03,532.00,536.00,186.00
MN,KS,F05,T03,106.00,136.00,38.00
PA,IL,F07,T00,573.00,360.00,130.00
CT,PA,F07,T03,302.00,232.00,38.00
TN,IL,F07,T00,430.00,356.00,87.00
CO,NE,F07,T03,63.00,32.00,7.00
NY,FL,F08,T00,67.00,118.00,74.00
GA,FL,F05,T00,592.00,456.00,100.00
VT,TX,F07,T00,12.00,10.00,9.00
PA,GA,F06,T03,775.00,720.00,273.00
IA,WI,F06,T06,23.00,234.00,52.00
IA,CA,F06,T00,139.00,238.00,234.00
NE,CA,F05,T03,1439.00,872.00,656.00
SD,MN,F02,T00,439.00,7866.00,1225.00
MA,VA,F07,T00,57.00,110.00,31.00
IN,IN,F08,T03,227.00,398.00,13.00
SC,CA,F05,T00,36.00,52.00,65.00
FL,NC,F06,T03,126.00,76.00,26.00
KS,CO,F05,T00,128.00,86.00,18.00
OR,WA,F05,T03,899.00,700.00,65.00
KY,IL,F08,T03,46.00,28.00,4.00
NC,SC,F07,T00,347.00,882.00,66.00
IA,AZ,F08,T06,68.00,378.00,336.00
ID,AZ,F07,T03,56.00,140.00,62.00
MO,FL,F05,T03,96.00,60.00,38.00
VT,IN,F07,T00,11.00,10.00,5.00
NV,NV,F08,T03,1968.00,1800.00,14.00
FL,VA,F07,T00,81.00,204.00,86.00
NJ,PA,F05,T03,85.00,56.00,4.00
TN,GA,F06,T00,261.00,498.00,95.00
IN,OH,F07,T03,781.00,3066.00,242.00
NH,MA,F05,T00,224.00,94.00,3.00
NY,MA,F08,T03,127.00,294.00,39.00
MS,MI,F05,T00,108.00,92.00,39.00
FL,PA,F07,T00,145.00,292.00,165.00
IL,TX,F08,T00,112.00,530.00,368.00
NV,OH,F06,T00,21.00,18.00,20.00
PA,PA,F07,T03,22128.00,59586.00,830.00
SD,MN,F03,T00,248.00,2154.00,339.00
NC,NY,F09,T00,39.00,2.00,1.00
NE,MN,F07,T00,17.00,48.00,8.00
KY,CA,F08,T00,62.00,30.00,35.00
TX,TN,F07,T00,18.00,44.00,17.00
GA,SC,F08,T03,124.00,320.00,48.00
AR,IN,F05,T00,332.00,180.00,54.00
MN,CA,F05,T00,366.00,304.00,283.00
PA,CA,F05,T03,22.00,14.00,23.00
KY,PA,F07,T03,184.00,484.00,154.00
WI,PA,F06,T00,29.00,30.00,11.00
KS,IA,F07,T00,191.00,796.00,173.00
TN,FL,F06,T00,138.00,112.00,31.00
ID,CA,F07,T00,360.00,1104.00,488.00
NY,MI,F08,T00,118.00,270.00,77.00
KY,IL,F08,T00,23.00,14.00,2.00
NE,FL,F05,T00,370.00,230.00,175.00
MD,PA,F07,T03,1446.00,4306.00,257.00
TN,TN,F08,T00,1653.00,2490.00,58.00
ID,IN,F03,T03,118.00,400.00,329.00
OH,NC,F03,T03,56.00,36.00,8.00
KY,CA,F05,T03,80.00,68.00,73.00
FL,AZ,F07,T00,8.00,10.00,10.00
OH,MD,F07,T00,119.00,452.00,112.00
AL,CA,F05,T03,372.00,488.00,512.00
IA,IN,F04,T03,247.00,556.00,98.00
KS,AL,F06,T03,58.00,100.00,38.00
NY,ME,F07,T03,158.00,408.00,115.00
PA,NY,F07,T03,1616.00,3584.00,376.00
CA,GA,F06,T00,119.00,72.00,79.00
OH,WV,F07,T06,16.00,168.00,46.00
ND,WA,F04,T06,14.00,310.00,244.00
ID,WA,F06,T00,35.00,66.00,13.00
IA,WI,F08,T03,104.00,576.00,66.00
IA,IA,F08,T00,532.00,1072.00,20.00
WA,TX,F03,T03,146.00,392.00,406.00
GA,CA,F06,T00,107.00,128.00,146.00
NY,VT,F07,T00,56.00,120.00,17.00
AL,FL,F05,T00,130.00,208.00,46.00
AR,LA,F07,T03,198.00,566.00,125.00
NE,MO,F05,T00,444.00,224.00,50.00
MN,KS,F05,T00,53.00,68.00,19.00
OK,KS,F05,T00,101.00,90.00,14.00
AR,OH,F05,T00,223.00,156.00,66.00
OH,MN,F07,T03,291.00,438.00,155.00
NH,VT,F07,T00,45.00,140.00,12.00
NV,OH,F06,T03,28.00,24.00,28.00
NC,TN,F07,T00,174.00,258.00,39.00
NY,FL,F08,T03,58.00,106.00,64.00
MD,NJ,F06,T00,107.00,104.00,8.00
NV,NV,F08,T00,984.00,900.00,7.00
WI,PA,F06,T03,29.00,28.00,10.00
KS,CA,F06,T00,174.00,262.00,222.00
CO,WI,F07,T03,39.00,40.00,20.00
IA,PA,F06,T00,79.00,174.00,86.00
MN,CA,F05,T03,727.00,602.00,559.00
GA,MA,F05,T00,59.00,58.00,32.00
NY,MI,F07,T00,243.00,336.00,72.00
VA,NC,F06,T00,106.00,66.00,7.00
IN,OK,F07,T03,32.00,88.00,30.00
MI,NV,F07,T00,39.00,28.00,30.00
IN,PA,F07,T06,46.00,382.00,131.00
TX,FL,F05,T00,640.00,464.00,286.00
PA,GA,F07,T00,297.00,396.00,144.00
IN,AL,F04,T00,34.00,452.00,167.00
MO,SC,F07,T03,33.00,34.00,15.00
VT,CT,F07,T03,85.00,196.00,25.00
VT,FL,F07,T00,37.00,30.00,22.00
OH,NC,F07,T03,504.00,868.00,260.00
CA,GA,F06,T03,236.00,136.00,152.00
MO,GA,F05,T00,85.00,98.00,37.00
AZ,NV,F06,T00,34.00,32.00,5.00
CA,WI,F07,T00,368.00,526.00,573.00
IN,OH,F07,T00,536.00,2124.00,183.00
KS,KS,F07,T03,1356.00,6084.00,283.00
KY,TN,F07,T00,320.00,1100.00,86.00
OH,FL,F07,T03,664.00,1058.00,515.00
MN,LA,F03,T07,1144.00,13488.00,11212.00
IA,NY,F05,T03,71.00,72.00,44.00
MO,OR,F07,T00,48.00,60.00,59.00
NE,NC,F05,T00,258.00,180.00,117.00
NE,IA,F04,T00,81.00,608.00,37.00
WA,AZ,F08,T03,12.00,20.00,14.00
IA,LA,F07,T06,234.00,1710.00,1019.00
OH,IL,F06,T03,599.00,952.00,169.00
KS,CO,F05,T03,244.00,152.00,30.00
KY,TN,F08,T03,62.00,44.00,6.00
MO,FL,F07,T03,120.00,172.00,89.00
MD,NY,F07,T03,558.00,1000.00,141.00
NY,FL,F07,T03,450.00,654.00,421.00
TX,MO,F08,T00,65.00,198.00,55.00
NE,TX,F05,T03,1796.00,1496.00,586.00
CA,OR,F05,T00,93.00,70.00,29.00
IA,MO,F04,T03,123.00,1228.00,97.00
NJ,MO,F08,T03,96.00,140.00,78.00
DE,FL,F05,T00,16.00,32.00,16.00
TN,IN,F06,T00,94.00,112.00,27.00
CA,NY,F07,T00,123.00,576.00,853.00
IA,VA,F07,T00,19.00,126.00,58.00
CA,NJ,F07,T00,255.00,676.00,1030.00
TN,MD,F06,T00,25.00,18.00,6.00
NE,IN,F05,T00,324.00,188.00,66.00
SD,SD,F01,T03,240.00,326.00,4.00
TN,KY,F06,T00,197.00,188.00,18.00
WI,IA,F08,T03,65.00,212.00,33.00
FL,MN,F07,T00,98.00,144.00,117.00
MS,MI,F05,T03,198.00,170.00,72.00
MI,AL,F07,T03,89.00,310.00,119.00
CA,OK,F07,T00,88.00,140.00,114.00
NE,WI,F05,T03,738.00,452.00,130.00
HI,HI,F07,T00,904.00,1744.00,53.00
ND,MI,F08,T00,24.00,138.00,79.00
AR,MS,F07,T00,204.00,786.00,117.00
OH,OH,F07,T03,13208.00,33134.00,1196.00
PA,MD,F06,T03,669.00,670.00,49.00
VA,VA,F05,T03,3674.00,3560.00,160.00
SC,NC,F07,T00,1445.00,1896.00,137.00
MA,VT,F06,T03,60.00,88.00,7.00
IL,IL,F09,T03,892.00,28.00,2.00
MA,NH,F06,T00,37.00,68.00,3.00
CA,TX,F03,T00,36.00,32.00,29.00
NC,PA,F07,T00,222.00,368.00,90.00
AR,NJ,F05,T00,91.00,58.00,36.00
KY,TX,F08,T00,97.00,40.00,20.00
ND,TN,F07,T00,57.00,234.00,151.00
IA,IA,F06,T03,356.00,998.00,6.00
NC,DE,F05,T00,46.00,38.00,5.00
OK,AL,F05,T03,6.00,6.00,3.00
VT,CT,F04,T03,4.00,28.00,4.00
OK,TX,F05,T03,484.00,458.00,82.00
ID,OR,F07,T03,105.00,250.00,52.00
ID,UT,F07,T03,390.00,618.00,72.00
PA,GA,F06,T00,393.00,364.00,138.00
CA,NV,F08,T03,236.00,578.00,108.00
WA,TX,F07,T00,55.00,154.00,162.00
WI,OK,F07,T00,87.00,40.00,19.00
IA,UT,F05,T00,11.00,8.00,4.00
MS,OK,F07,T03,44.00,60.00,16.00
FL,FL,F07,T06,39.00,158.00,16.00
KY,PA,F05,T00,56.00,40.00,11.00
NY,MD,F07,T03,502.00,374.00,63.00
UT,UT,F06,T00,334.00,922.00,13.00
CA,PA,F03,T03,407.00,694.00,955.00
CA,CA,F06,T03,10704.00,19776.00,1217.00
CA,LA,F08,T03,28.00,16.00,18.00
ID,WI,F07,T00,178.00,296.00,243.00
IL,MI,F05,T00,71.00,50.00,8.00
WI,TN,F07,T00,510.00,666.00,221.00
NC,KY,F07,T00,53.00,146.00,31.00
FL,GA,F04,T00,21.00,398.00,78.00
KS,KS,F02,T00,3537.00,75196.00,2607.00
MD,TX,F07,T03,106.00,112.00,82.00
MO,AR,F07,T03,123.00,624.00,76.00
MN,LA,F02,T07,2824.00,70884.00,58856.00
OK,AR,F07,T00,92.00,358.00,30.00
OH,VA,F07,T00,131.00,598.00,171.00
NJ,CT,F08,T03,182.00,488.00,26.00
NC,NH,F05,T03,8.00,8.00,4.00
CA,VA,F08,T00,76.00,84.00,121.00
KY,IN,F06,T03,110.00,108.00,14.00
VT,PA,F07,T00,66.00,64.00,14.00
CO,CO,F04,T03,167.00,1264.00,45.00
NC,PA,F05,T00,409.00,394.00,83.00
IL,MS,F04,T00,56.00,690.00,243.00
VA,PA,F06,T03,72.00,48.00,7.00
VT,MO,F07,T00,26.00,24.00,14.00
TN,AL,F06,T03,277.00,270.00,30.00
AR,MO,F07,T03,151.00,432.00,60.00
IA,NE,F05,T00,629.00,442.00,29.00
NH,NY,F07,T03,34.00,38.00,4.00
NC,MA,F05,T03,72.00,54.00,20.00
NC,NC,F07,T03,4394.00,17648.00,500.00
CA,UT,F05,T00,69.00,72.00,25.00
CA,TX,F05,T03,239.00,118.00,86.00
IL,IA,F08,T00,35.00,196.00,18.00
CA,MT,F07,T00,15.00,16.00,9.00
OK,TX,F06,T00,90.00,358.00,64.00
MN,FL,F05,T03,572.00,484.00,398.00
ID,OH,F07,T03,63.00,182.00,166.00
MN,WA,F05,T03,148.00,160.00,126.00
AR,MO,F07,T00,151.00,432.00,60.00
VA,NJ,F06,T00,114.00,70.00,11.00
IN,VA,F07,T03,16.00,12.00,4.00
KY,KS,F06,T03,260.00,308.00,108.00
VT,VT,F08,T03,401.00,564.00,8.00
AR,KY,F05,T03,72.00,54.00,18.00
MI,OK,F07,T00,16.00,46.00,23.00
MO,MO,F06,T03,2317.00,4288.00,170.00
NJ,PA,F07,T03,2986.00,6246.00,390.00
SC,VA,F05,T03,73.00,66.00,12.00
MD,DE,F02,T03,15.00,350.00,11.00
TN,GA,F06,T03,369.00,466.00,69.00
OH,MO,F07,T00,95.00,194.00,58.00
CA,ID,F07,T03,25.00,32.00,10.00
OH,FL,F07,T00,368.00,564.00,276.00
MA,FL,F07,T03,30.00,44.00,28.00
ND,WA,F07,T06,26.00,374.00,302.00
NY,GA,F07,T03,288.00,424.00,201.00
IN,TN,F02,T06,102.00,2652.00,714.00
NE,IA,F05,T00,1277.00,852.00,65.00
AR,KY,F07,T00,14.00,66.00,7.00
NC,NY,F07,T00,177.00,214.00,76.00
IA,TX,F07,T06,149.00,1768.00,896.00
WI,WI,F07,T03,19146.00,32208.00,1362.00
WA,WA,F08,T03,2133.00,2878.00,60.00
IA,SD,F05,T03,120.00,116.00,25.00
VA,CA,F05,T00,87.00,92.00,125.00
OR,OR,F05,T03,1495.00,1136.00,40.00
CA,IL,F06,T03,500.00,504.00,511.00
FL,IL,F07,T03,174.00,388.00,220.00
AR,AR,F08,T00,578.00,882.00,12.00
IN,LA,F03,T07,400.00,4532.00,2404.00
NY,AL,F07,T00,17.00,24.00,11.00
ND,OH,F07,T00,54.00,382.00,196.00
AR,SC,F05,T00,156.00,130.00,53.00
NH,GA,F05,T03,10.00,4.00,2.00
IN,IL,F05,T03,92.00,130.00,9.00
IN,TN,F07,T06,19.00,230.00,66.00
OK,KS,F05,T03,158.00,140.00,22.00
OK,IL,F05,T03,19.00,14.00,5.00
NC,FL,F04,T00,2.00,64.00,23.00
MD,NH,F07,T00,20.00,28.00,6.00
MN,NY,F06,T06,21.00,228.00,133.00
MD,MD,F05,T00,1526.00,894.00,14.00
MO,MD,F05,T03,22.00,12.00,6.00
WI,CT,F07,T00,122.00,64.00,35.00
LA,CA,F07,T03,27.00,42.00,38.00
KY,KY,F05,T00,535.00,532.00,12.00
CA,AZ,F03,T03,388.00,676.00,184.00
CA,KY,F07,T00,88.00,124.00,148.00
MI,NC,F07,T03,92.00,356.00,128.00
KS,FL,F05,T00,245.00,116.00,88.00
TX,TX,F08,T00,7271.00,10304.00,501.00
GA,PA,F07,T00,67.00,210.00,84.00
TN,TN,F07,T03,5706.00,14558.00,453.00
FL,SC,F07,T03,135.00,236.00,53.00
DE,NJ,F07,T00,29.00,126.00,5.00
MN,WA,F02,T06,222.00,5898.00,5856.00
IA,OK,F04,T00,167.00,890.00,298.00
SC,NY,F05,T03,171.00,184.00,67.00
FL,NY,F05,T03,104.00,40.00,22.00
CA,OR,F03,T03,285.00,392.00,133.00
IL,GA,F07,T00,845.00,1502.00,505.00
AR,NY,F05,T03,152.00,132.00,78.00
CA,MT,F08,T00,27.00,54.00,30.00
