Source,Target,FoodCate,TransMode,ShipValue,ShipWeight,TonMiles
WA,KY,F03,T04,11.00,36.00,42.00
ID,AZ,F03,T04,22.00,68.00,33.00
IL,UT,F07,T00,40.00,38.00,26.00
KS,FL,F05,T03,245.00,116.00,88.00
TN,LA,F09,T04,50.00,4.00,1.00
ID,WI,F07,T04,150.00,166.00,131.00
CO,OR,F04,T03,94.00,210.00,122.00
TX,CA,F05,T04,969.00,730.00,486.00
LA,LA,F07,T05,1233.00,3386.00,56.00
WA,CA,F05,T00,491.00,254.00,111.00
IN,NC,F04,T00,43.00,512.00,212.00
WY,MT,F07,T00,24.00,116.00,21.00
TX,LA,F08,T03,182.00,494.00,72.00
NE,AZ,F05,T04,68.00,82.00,51.00
AL,TN,F05,T04,137.00,132.00,24.00
VT,ME,F04,T03,9.00,46.00,6.00
NC,CA,F05,T04,38.00,44.00,59.00
MA,MA,F05,T00,1721.00,636.00,10.00
WA,WA,F07,T00,3899.00,7046.00,268.00
NE,NC,F05,T04,258.00,180.00,117.00
NC,SC,F06,T04,5.00,40.00,4.00
WY,WY,F07,T00,148.00,458.00,20.00
IL,OH,F07,T06,110.00,994.00,199.00
OH,NC,F07,T00,294.00,918.00,322.00
CA,AZ,F07,T03,1197.00,2410.00,536.00
NY,CA,F05,T04,111.00,42.00,60.00
KY,FL,F05,T04,14.00,10.00,4.00
NH,OH,F07,T00,8.00,8.00,3.00
NM,MO,F07,T04,33.00,32.00,12.00
SD,SD,F01,T00,240.00,326.00,4.00
GA,OH,F05,T00,291.00,176.00,45.00
CA,CA,F05,T03,14929.00,12162.00,400.00
IL,NJ,F07,T03,194.00,214.00,87.00
IA,IA,F08,T03,532.00,1072.00,20.00
TX,LA,F08,T00,182.00,494.00,72.00
CO,WI,F07,T04,19.00,18.00,9.00
KY,CA,F07,T04,79.00,82.00,91.00
TX,WI,F05,T04,85.00,84.00,47.00
KS,OK,F05,T04,163.00,170.00,26.00
KS,GA,F06,T04,49.00,74.00,32.00
CA,AZ,F05,T03,174.00,206.00,44.00
WV,VA,F05,T00,33.00,80.00,4.00
OK,CA,F05,T03,126.00,138.00,97.00
MA,NH,F07,T05,41.00,78.00,2.00
FL,GA,F04,T04,17.00,354.00,69.00
NY,OH,F07,T03,413.00,588.00,102.00
GA,TN,F08,T00,142.00,462.00,55.00
KS,IN,F05,T04,100.00,62.00,27.00
WI,IA,F06,T03,25.00,20.00,2.00
IA,LA,F03,T08,527.00,5572.00,3620.00
ID,PA,F03,T04,63.00,296.00,310.00
KS,PA,F06,T00,26.00,50.00,26.00
GA,LA,F07,T03,90.00,244.00,65.00
MN,WI,F04,T04,58.00,818.00,70.00
NH,IL,F07,T03,7.00,8.00,4.00
AL,AL,F07,T05,3556.00,8626.00,161.00
PA,DE,F06,T05,41.00,30.00,1.00
TX,CA,F05,T00,1163.00,930.00,613.00
MT,MT,F07,T04,6.00,22.00,2.00
AL,MI,F05,T03,33.00,38.00,14.00
KS,AR,F05,T00,198.00,160.00,34.00
KS,PA,F05,T04,178.00,110.00,70.00
MA,FL,F07,T00,15.00,22.00,14.00
MA,VT,F06,T00,39.00,58.00,5.00
CA,NM,F08,T04,48.00,64.00,30.00
IL,IA,F08,T04,35.00,196.00,18.00
IL,GA,F07,T03,680.00,1010.00,338.00
IA,AZ,F08,T06,68.00,378.00,336.00
KS,KS,F08,T03,682.00,976.00,13.00
MS,MA,F05,T04,71.00,92.00,64.00
NJ,NY,F05,T05,474.00,466.00,8.00
TN,TN,F03,T00,789.00,1068.00,20.00
MO,CO,F07,T03,91.00,64.00,24.00
NC,NY,F07,T04,177.00,214.00,76.00
AR,TX,F05,T00,655.00,940.00,174.00
NY,FL,F07,T03,230.00,340.00,218.00
CT,RI,F07,T00,34.00,88.00,3.00
KS,IN,F05,T03,100.00,62.00,27.00
TX,MS,F07,T04,40.00,72.00,17.00
DE,TX,F07,T04,29.00,96.00,73.00
OR,WA,F07,T05,558.00,1316.00,78.00
VA,VA,F05,T00,1837.00,1780.00,80.00
MI,CA,F06,T04,123.00,118.00,132.00
ID,ID,F08,T05,190.00,344.00,6.00
GA,AL,F07,T04,236.00,484.00,43.00
ND,NM,F04,T00,18.00,336.00,271.00
NH,MA,F05,T03,224.00,94.00,3.00
