Source,Target,FoodCate,TransMode,ShipValue,ShipWeight,TonMiles
TN,GA,F06,T03,243.00,348.00,55.00
MS,TN,F06,T03,142.00,502.00,40.00
WA,VA,F08,T00,6.00,4.00,5.00
CA,AZ,F06,T03,159.00,160.00,34.00
MD,NJ,F05,T00,64.00,68.00,7.00
MN,OH,F06,T06,17.00,310.00,124.00
SD,WA,F03,T06,29.00,368.00,323.00
DE,DE,F05,T03,108.00,218.00,2.00
IA,MO,F04,T06,39.00,516.00,148.00
MI,MI,F07,T04,1826.00,5374.00,226.00
WA,TX,F07,T00,55.00,154.00,162.00
TX,NY,F05,T04,203.00,92.00,75.00
OH,WV,F07,T06,16.00,168.00,46.00
IA,CA,F07,T06,98.00,866.00,880.00
KY,FL,F05,T03,18.00,14.00,6.00
WI,MN,F06,T04,120.00,180.00,29.00
MN,LA,F05,T00,44.00,48.00,30.00
ND,NE,F03,T04,11.00,78.00,16.00
MA,PA,F07,T03,190.00,344.00,55.00
IL,MO,F06,T04,111.00,282.00,39.00
CO,CO,F07,T04,251.00,486.00,8.00
MN,WA,F05,T00,88.00,116.00,101.00
MI,FL,F07,T00,11.00,42.00,27.00
KY,TN,F08,T04,31.00,22.00,3.00
IN,FL,F04,T03,4.00,14.00,7.00
OK,OR,F05,T03,26.00,38.00,35.00
MD,TX,F07,T03,53.00,56.00,41.00
KY,GA,F07,T05,19.00,56.00,9.00
WI,CT,F07,T00,122.00,64.00,35.00
KY,IL,F08,T00,23.00,14.00,2.00
AL,MS,F07,T05,185.00,326.00,26.00
NE,IN,F05,T04,324.00,188.00,66.00
IA,NC,F05,T03,85.00,108.00,57.00
FL,MS,F05,T05,13.00,14.00,5.00
MI,PA,F07,T06,90.00,142.00,58.00
KY,VA,F07,T04,75.00,148.00,51.00
ID,CO,F03,T04,16.00,74.00,24.00
NY,LA,F08,T00,16.00,32.00,22.00
OH,KY,F07,T04,206.00,422.00,42.00
FL,KS,F07,T00,24.00,44.00,29.00
FL,FL,F07,T05,6995.00,18098.00,421.00
OH,KY,F03,T03,19.00,16.00,2.00
IL,MO,F07,T03,346.00,766.00,98.00
OH,TN,F06,T03,282.00,494.00,110.00
ND,PA,F04,T04,5.00,26.00,18.00
TX,AR,F08,T00,70.00,170.00,33.00
AL,PA,F05,T04,55.00,58.00,25.00
VA,MA,F05,T04,142.00,178.00,44.00
FL,CA,F07,T03,693.00,1356.00,1797.00
KS,MO,F05,T00,578.00,396.00,53.00
CA,UT,F07,T04,464.00,662.00,236.00
AZ,AZ,F04,T04,55.00,124.00,10.00
FL,NY,F07,T04,96.00,266.00,182.00
TN,IN,F07,T04,79.00,156.00,35.00
KS,SC,F05,T00,116.00,66.00,45.00
KY,IN,F07,T04,143.00,280.00,32.00
VA,KY,F07,T00,51.00,70.00,13.00
OH,GA,F06,T04,79.00,110.00,32.00
IN,MI,F07,T00,770.00,1870.00,182.00
MI,CA,F07,T00,47.00,136.00,168.00
IA,IL,F04,T05,46.00,126.00,10.00
NH,NH,F08,T03,357.00,650.00,7.00
UT,UT,F07,T05,1867.00,3020.00,100.00
NY,VT,F07,T03,56.00,120.00,17.00
ID,OH,F03,T00,104.00,604.00,551.00
MO,WI,F06,T00,49.00,180.00,56.00
NH,NH,F07,T05,237.00,720.00,12.00
ID,MI,F03,T00,61.00,156.00,140.00
KY,LA,F08,T00,39.00,24.00,9.00
CA,NM,F08,T00,48.00,64.00,31.00
NV,TX,F07,T04,51.00,34.00,20.00
KS,KS,F02,T00,3537.00,75196.00,2607.00
ID,ID,F02,T04,46.00,726.00,15.00
CA,CO,F07,T03,218.00,602.00,354.00
CA,KY,F07,T00,88.00,124.00,148.00
TN,SC,F06,T05,72.00,58.00,8.00
TN,WI,F05,T04,20.00,18.00,5.00
NY,IL,F03,T00,21.00,12.00,5.00
WV,WV,F08,T04,76.00,32.00,2.00
LA,SC,F07,T04,15.00,40.00,16.00
UT,MS,F07,T03,13.00,46.00,38.00
MO,MI,F06,T03,56.00,120.00,45.00
FL,LA,F05,T00,93.00,68.00,19.00
CA,WA,F06,T04,135.00,224.00,98.00
NJ,NJ,F07,T00,3742.00,6768.00,114.00
PA,NY,F07,T00,808.00,1792.00,188.00
KS,OK,F07,T00,276.00,2132.00,217.00
AR,LA,F05,T00,78.00,96.00,15.00
CA,IN,F07,T03,73.00,68.00,77.00
MD,TN,F07,T04,29.00,30.00,8.00
VT,RI,F07,T03,6.00,6.00,1.00
NM,IL,F07,T04,28.00,24.00,16.00
CA,NV,F08,T05,26.00,84.00,11.00
IA,UT,F05,T00,11.00,8.00,4.00
WA,IL,F07,T00,1.00,4.00,4.00
ID,CO,F07,T04,28.00,62.00,23.00
KS,MI,F06,T00,38.00,110.00,39.00
ID,WI,F03,T04,26.00,90.00,70.00
VA,SC,F07,T00,120.00,288.00,39.00
MI,PA,F06,T04,121.00,138.00,43.00
WA,WA,F08,T05,785.00,1234.00,18.00
FL,NC,F04,T03,6.00,106.00,36.00
IL,MS,F04,T00,56.00,690.00,243.00
DE,MD,F05,T00,56.00,104.00,5.00
AR,PA,F05,T00,302.00,192.00,97.00
MI,OK,F07,T03,16.00,46.00,23.00
GA,GA,F08,T03,3358.00,4508.00,101.00
AR,OK,F07,T05,53.00,272.00,30.00
IA,WI,F06,T00,44.00,340.00,67.00
CO,CO,F08,T03,2078.00,3660.00,51.00
FL,LA,F05,T03,93.00,68.00,19.00
CT,MA,F07,T00,472.00,808.00,21.00
WV,WV,F07,T00,598.00,2206.00,46.00
NJ,NJ,F07,T03,3735.00,6764.00,114.00
VT,VT,F08,T03,202.00,286.00,4.00
IL,FL,F07,T00,148.00,440.00,268.00
MT,SD,F04,T04,2.00,40.00,6.00
IN,LA,F03,T08,200.00,2266.00,1202.00
NE,MD,F05,T03,116.00,36.00,24.00
IA,MI,F06,T04,86.00,86.00,22.00
PA,SC,F07,T00,26.00,56.00,18.00
MN,FL,F05,T03,286.00,242.00,199.00
WY,MT,F07,T04,22.00,106.00,18.00
MI,IL,F06,T00,230.00,236.00,25.00
MN,ND,F05,T00,36.00,46.00,9.00
NJ,FL,F06,T04,64.00,66.00,39.00
TN,FL,F07,T00,637.00,1116.00,440.00
VA,VA,F02,T05,32.00,708.00,15.00
CA,IA,F08,T03,9.00,8.00,6.00
NH,ME,F07,T04,43.00,150.00,17.00
IL,PA,F07,T00,1376.00,3654.00,1336.00
KY,CA,F07,T03,90.00,92.00,100.00
KY,AL,F08,T03,23.00,18.00,4.00
IA,IL,F07,T00,1070.00,6948.00,1462.00
VT,FL,F07,T00,37.00,30.00,22.00
IA,IN,F04,T03,144.00,322.00,58.00
WI,GA,F05,T04,51.00,40.00,17.00
WV,WV,F07,T03,598.00,2206.00,46.00
WA,NY,F08,T04,17.00,10.00,13.00
MA,FL,F05,T00,72.00,40.00,28.00
ID,FL,F03,T00,136.00,470.00,610.00
OH,FL,F07,T04,324.00,524.00,255.00
VA,NC,F03,T03,342.00,218.00,15.00
IA,AZ,F08,T00,68.00,378.00,336.00
MO,MO,F07,T04,584.00,1436.00,84.00
KY,TX,F07,T03,195.00,264.00,127.00
WA,WA,F06,T05,364.00,490.00,8.00
NY,SC,F07,T04,40.00,70.00,26.00
KY,LA,F08,T03,39.00,24.00,9.00
KY,IL,F06,T03,150.00,124.00,20.00
OR,WA,F07,T03,924.00,2320.00,178.00
GA,SC,F05,T00,563.00,310.00,37.00
OK,TN,F07,T03,5.00,8.00,2.00
HI,HI,F08,T00,264.00,208.00,3.00
IL,LA,F04,T04,139.00,80.00,31.00
TN,OH,F06,T00,160.00,210.00,55.00
CA,KY,F07,T03,45.00,38.00,41.00
KY,LA,F06,T00,12.00,10.00,3.00
SC,TX,F05,T04,22.00,28.00,14.00
HI,CA,F07,T00,118.00,280.00,372.00
NC,NH,F05,T03,4.00,4.00,2.00
NH,NJ,F07,T00,30.00,30.00,4.00
MA,NH,F06,T03,37.00,68.00,3.00
AR,MD,F05,T04,41.00,20.00,13.00
NJ,OH,F07,T03,275.00,412.00,102.00
MS,KY,F07,T03,28.00,156.00,42.00
IN,IN,F05,T00,238.00,180.00,4.00
VA,KY,F07,T03,51.00,70.00,13.00
MO,LA,F02,T07,370.00,8622.00,4066.00
GA,TX,F08,T00,28.00,84.00,37.00
NY,OH,F08,T04,61.00,152.00,35.00
ID,WI,F03,T03,27.00,92.00,72.00
KY,CA,F06,T00,61.00,56.00,61.00
UT,UT,F08,T03,249.00,426.00,5.00
LA,LA,F07,T00,2063.00,7954.00,185.00
MT,MT,F06,T00,120.00,240.00,8.00
TX,TX,F08,T00,7271.00,10304.00,501.00
NM,IL,F07,T03,28.00,24.00,16.00
AR,NY,F05,T03,76.00,66.00,39.00
KS,IL,F06,T03,96.00,176.00,42.00
PA,IL,F06,T04,318.00,350.00,122.00
VA,VA,F07,T05,2140.00,7198.00,180.00
IA,PA,F04,T00,68.00,446.00,230.00
ID,UT,F07,T00,333.00,570.00,73.00
NC,NY,F03,T04,9.00,14.00,4.00
ND,OH,F07,T06,51.00,370.00,189.00
KY,KS,F06,T04,130.00,154.00,54.00
WA,IL,F03,T03,16.00,44.00,43.00
TX,NM,F08,T04,34.00,132.00,44.00
VA,NC,F06,T00,106.00,66.00,7.00
MN,WI,F02,T00,59.00,750.00,141.00
VA,SC,F08,T03,195.00,538.00,109.00
IL,OH,F07,T00,842.00,2822.00,511.00
NC,NC,F07,T00,2331.00,9604.00,305.00
CO,CA,F05,T04,630.00,382.00,211.00
VT,GA,F07,T04,35.00,28.00,16.00
ID,WA,F06,T03,35.00,66.00,13.00
OH,NY,F07,T00,275.00,698.00,176.00
OK,FL,F05,T00,30.00,26.00,18.00
NJ,CT,F08,T04,91.00,244.00,13.00
TX,AZ,F05,T04,125.00,108.00,57.00
MN,CO,F07,T05,14.00,12.00,6.00
IN,OH,F07,T03,471.00,1686.00,133.00
AZ,PA,F07,T00,10.00,6.00,6.00
KS,TX,F07,T06,74.00,770.00,285.00
IL,MI,F05,T03,69.00,50.00,7.00
IN,OH,F04,T03,27.00,204.00,13.00
CA,IL,F07,T06,210.00,518.00,584.00
IL,MN,F06,T00,76.00,232.00,64.00
CA,OR,F07,T03,696.00,1306.00,522.00
TN,MI,F07,T00,48.00,72.00,24.00
IL,WI,F05,T03,443.00,570.00,49.00
ND,NY,F06,T03,12.00,36.00,28.00
NE,OK,F05,T00,77.00,108.00,26.00
GA,TX,F08,T04,28.00,84.00,37.00
OH,GA,F06,T03,107.00,170.00,50.00
MD,NJ,F06,T00,107.00,104.00,8.00
NY,MD,F07,T00,502.00,374.00,63.00
MO,AR,F06,T06,13.00,68.00,20.00
DE,GA,F07,T00,5.00,16.00,6.00
CA,CA,F07,T00,27142.00,59988.00,2651.00
NH,CT,F07,T03,36.00,72.00,5.00
OH,PA,F01,T00,104.00,236.00,44.00
NM,CA,F06,T04,46.00,18.00,8.00
TN,FL,F08,T03,150.00,360.00,125.00
ID,TX,F07,T04,55.00,126.00,94.00
VA,MA,F05,T03,181.00,220.00,54.00
ND,WA,F07,T06,26.00,374.00,302.00
TN,MD,F06,T03,25.00,18.00,6.00
NJ,OH,F07,T04,261.00,392.00,96.00
IN,LA,F04,T07,16.00,332.00,188.00
MD,MI,F07,T04,38.00,64.00,18.00
IL,IL,F08,T04,711.00,2986.00,142.00
AL,MD,F05,T03,78.00,78.00,34.00
TX,GA,F05,T05,15.00,14.00,7.00
OK,IL,F05,T00,19.00,14.00,5.00
MI,IL,F04,T05,15.00,148.00,13.00
ID,CO,F03,T03,25.00,80.00,26.00
PA,NY,F07,T05,421.00,508.00,55.00
CA,OR,F08,T04,52.00,110.00,44.00
NE,FL,F05,T03,370.00,230.00,175.00
NH,FL,F05,T00,60.00,8.00,6.00
NV,WA,F07,T03,76.00,126.00,72.00
MN,OH,F05,T00,353.00,280.00,105.00
NC,NJ,F07,T00,191.00,194.00,56.00
MO,KS,F06,T04,42.00,180.00,8.00
TX,TX,F08,T04,1180.00,3162.00,366.00
MA,NH,F06,T00,37.00,68.00,3.00
TX,CO,F05,T00,210.00,134.00,42.00
KY,TX,F07,T04,171.00,226.00,110.00
NY,OH,F08,T00,77.00,202.00,42.00
HI,HI,F05,T03,123.00,62.00,1.00
AR,AR,F08,T03,578.00,882.00,12.00
KS,OK,F07,T03,249.00,1840.00,177.00
OH,MN,F06,T04,152.00,224.00,85.00
IA,AZ,F05,T00,53.00,56.00,43.00
ID,WI,F03,T00,27.00,92.00,72.00
TN,NJ,F06,T03,20.00,20.00,9.00
NH,MA,F07,T03,99.00,242.00,9.00
KS,MI,F06,T04,34.00,64.00,23.00
VA,CA,F05,T00,87.00,92.00,125.00
AL,MO,F05,T03,47.00,54.00,16.00
MO,OH,F06,T03,92.00,128.00,39.00
VT,NY,F07,T03,108.00,214.00,27.00
KY,AL,F08,T04,23.00,18.00,4.00
WI,AL,F07,T05,15.00,8.00,4.00
TN,TN,F05,T04,322.00,316.00,17.00
ND,CA,F04,T06,29.00,430.00,442.00
NJ,PA,F07,T05,460.00,744.00,35.00
MD,CT,F06,T03,58.00,24.00,3.00
MO,NM,F07,T04,19.00,20.00,8.00
WA,OR,F08,T03,38.00,86.00,8.00
MN,WA,F02,T06,222.00,5898.00,5856.00
TX,NY,F05,T03,203.00,92.00,75.00
GA,CA,F05,T00,191.00,250.00,287.00
NC,MA,F03,T00,12.00,24.00,7.00
MI,NC,F07,T00,46.00,178.00,64.00
TX,AR,F06,T00,4.00,12.00,1.00
OR,TX,F03,T00,45.00,92.00,94.00
NH,VT,F07,T00,45.00,140.00,12.00
IA,MN,F05,T03,116.00,154.00,20.00
NY,MS,F07,T04,14.00,46.00,23.00
MA,FL,F05,T04,72.00,40.00,28.00
NY,CT,F07,T05,77.00,140.00,17.00
OK,SC,F05,T03,15.00,12.00,7.00
WI,FL,F07,T00,278.00,278.00,188.00
NE,CO,F07,T04,17.00,46.00,12.00
NC,SC,F05,T03,398.00,446.00,35.00
ID,OR,F07,T03,105.00,250.00,52.00
SC,PA,F05,T00,113.00,114.00,33.00
WI,IL,F08,T00,247.00,814.00,47.00
MI,IL,F06,T04,205.00,214.00,22.00
NY,SC,F07,T00,50.00,98.00,37.00
CA,WI,F07,T04,340.00,466.00,505.00
NY,VA,F07,T05,25.00,48.00,11.00
CO,OR,F05,T03,49.00,28.00,18.00
MN,OH,F03,T03,15.00,92.00,36.00
OH,MO,F07,T03,95.00,194.00,58.00
OK,KY,F05,T04,15.00,14.00,6.00
MA,MA,F07,T04,57.00,124.00,3.00
TX,SC,F06,T04,9.00,36.00,20.00
IA,OH,F06,T04,18.00,46.00,13.00
PA,NC,F07,T00,116.00,358.00,79.00
NY,TN,F08,T00,25.00,66.00,27.00
MI,WI,F07,T03,175.00,364.00,63.00
NC,TN,F07,T04,45.00,108.00,18.00
OH,WI,F07,T00,303.00,488.00,115.00
IL,OH,F06,T03,326.00,496.00,84.00
FL,NC,F07,T03,435.00,550.00,170.00
IL,LA,F03,T07,1197.00,13764.00,8125.00
AL,AZ,F05,T03,10.00,6.00,5.00
MO,GA,F05,T04,75.00,94.00,34.00
KY,PA,F05,T04,56.00,40.00,11.00
MD,MA,F07,T03,165.00,228.00,47.00
NJ,MD,F07,T04,348.00,336.00,29.00
ND,VA,F04,T04,2.00,12.00,9.00
ID,CO,F03,T00,25.00,80.00,26.00
ID,NY,F03,T03,43.00,104.00,117.00
TN,KY,F07,T05,125.00,136.00,10.00
CA,WI,F03,T04,86.00,128.00,134.00
MO,TX,F07,T03,393.00,366.00,103.00
TX,OH,F07,T00,178.00,374.00,201.00
NC,MA,F05,T03,39.00,30.00,11.00
AR,CA,F05,T03,417.00,632.00,524.00
VA,SC,F08,T00,235.00,642.00,130.00
NY,NH,F07,T03,19.00,34.00,7.00
IA,SD,F05,T03,83.00,80.00,17.00
KY,MS,F07,T03,9.00,58.00,14.00
VA,DE,F05,T03,229.00,208.00,19.00
CO,OR,F04,T00,94.00,210.00,122.00
MS,TX,F05,T04,107.00,118.00,32.00
MD,TN,F07,T00,29.00,30.00,8.00
IL,MI,F07,T03,395.00,840.00,131.00
IL,MO,F06,T00,150.00,370.00,50.00
FL,IN,F07,T03,79.00,122.00,62.00
GA,FL,F07,T03,1103.00,2036.00,431.00
NE,NE,F06,T03,17.00,22.00,1.00
WA,NC,F03,T04,17.00,40.00,56.00
VA,VA,F04,T00,114.00,1000.00,38.00
WA,WA,F07,T03,3891.00,7006.00,262.00
AL,GA,F05,T03,457.00,478.00,52.00
TN,AL,F06,T05,107.00,104.00,10.00
IN,MI,F04,T03,23.00,110.00,12.00
PA,CA,F06,T00,181.00,232.00,330.00
IA,SC,F05,T04,36.00,32.00,17.00
IA,IL,F05,T04,392.00,352.00,59.00
TX,TN,F07,T03,18.00,44.00,17.00
AR,UT,F05,T04,137.00,86.00,57.00
FL,MS,F07,T03,24.00,62.00,24.00
MN,GA,F05,T00,81.00,72.00,43.00
ID,IN,F03,T04,56.00,188.00,155.00
OK,LA,F02,T07,87.00,1388.00,619.00
PA,PA,F07,T05,9415.00,27576.00,349.00
ID,WI,F07,T03,160.00,184.00,145.00
GA,AL,F08,T03,218.00,600.00,61.00
OH,PA,F05,T03,43.00,30.00,3.00
AL,AL,F07,T03,3879.00,9976.00,244.00
MI,CA,F06,T00,123.00,118.00,132.00
FL,GA,F05,T03,265.00,228.00,36.00
OK,OK,F06,T00,199.00,466.00,24.00
CA,OH,F07,T00,145.00,368.00,451.00
MN,KS,F05,T03,53.00,68.00,19.00
WV,PA,F05,T05,50.00,38.00,4.00
DE,NY,F07,T04,35.00,88.00,16.00
IA,MO,F04,T03,71.00,658.00,54.00
TX,OK,F05,T03,120.00,112.00,20.00
KY,IN,F07,T00,332.00,774.00,59.00
NY,CO,F07,T03,11.00,18.00,15.00
ND,MO,F06,T03,9.00,30.00,14.00
TN,TX,F07,T04,348.00,458.00,176.00
ID,CA,F03,T03,119.00,294.00,120.00
MS,MS,F05,T00,1075.00,1892.00,68.00
AL,IL,F05,T04,50.00,70.00,26.00
ID,MN,F03,T03,36.00,80.00,47.00
MO,NY,F06,T03,30.00,84.00,48.00
MA,PA,F07,T04,153.00,300.00,46.00
AR,TN,F05,T03,65.00,42.00,10.00
NC,KY,F07,T03,53.00,146.00,31.00
ME,MA,F07,T05,33.00,126.00,8.00
OR,WA,F05,T00,485.00,370.00,34.00
ID,MO,F07,T00,193.00,218.00,154.00
GA,MS,F08,T00,89.00,224.00,44.00
WI,OK,F07,T03,87.00,40.00,19.00
IL,TN,F07,T00,259.00,664.00,128.00
CA,NY,F08,T00,272.00,382.00,562.00
PA,PA,F06,T00,2748.00,3294.00,114.00
KY,VA,F07,T00,101.00,266.00,72.00
IN,OK,F07,T00,20.00,86.00,30.00
UT,ID,F07,T00,213.00,300.00,31.00
TX,CO,F07,T04,353.00,608.00,242.00
CA,IL,F03,T04,363.00,430.00,448.00
CA,CA,F03,T05,9228.00,18174.00,399.00
GA,AL,F07,T03,410.00,1264.00,92.00
SC,SC,F08,T03,1382.00,1962.00,26.00
NC,OH,F05,T05,33.00,84.00,23.00
AR,MO,F05,T03,396.00,388.00,50.00
IL,MO,F07,T00,375.00,1144.00,129.00
CA,OK,F08,T00,100.00,92.00,72.00
NC,NY,F05,T00,361.00,454.00,140.00
CO,WI,F07,T00,20.00,22.00,11.00
CA,OR,F05,T03,93.00,70.00,29.00
KY,KY,F05,T03,535.00,532.00,12.00
ID,WA,F07,T03,185.00,358.00,100.00
ID,MO,F07,T03,177.00,178.00,125.00
FL,MD,F07,T04,102.00,210.00,100.00
VA,MA,F05,T00,181.00,220.00,54.00
OR,OR,F04,T04,173.00,1816.00,33.00
NY,MA,F06,T04,83.00,116.00,10.00
IN,IL,F04,T04,51.00,220.00,16.00
OH,IN,F08,T04,158.00,464.00,46.00
MN,OH,F03,T04,15.00,92.00,36.00
CA,HI,F07,T00,116.00,144.00,186.00
CA,NM,F08,T03,48.00,64.00,31.00
NC,GA,F05,T04,137.00,168.00,31.00
NC,NJ,F05,T00,337.00,510.00,143.00
KS,TX,F05,T00,1123.00,928.00,284.00
IN,OH,F04,T05,6.00,32.00,2.00
IL,MN,F06,T04,69.00,220.00,61.00
VA,NY,F03,T00,28.00,90.00,28.00
WI,MN,F08,T05,59.00,204.00,43.00
IN,MI,F04,T00,23.00,110.00,12.00
PA,AL,F06,T00,48.00,80.00,34.00
GA,AL,F07,T00,410.00,1264.00,92.00
NC,FL,F04,T00,2.00,64.00,23.00
OR,OR,F05,T05,742.00,564.00,20.00
WA,CA,F08,T04,74.00,102.00,47.00
CO,CA,F05,T00,644.00,400.00,221.00
NY,GA,F08,T00,16.00,36.00,17.00
ND,MN,F05,T05,84.00,70.00,4.00
TN,FL,F06,T04,29.00,22.00,8.00
ID,WI,F07,T00,178.00,296.00,243.00
ID,IL,F07,T03,63.00,116.00,91.00
OK,OR,F05,T00,26.00,38.00,35.00
TN,TN,F03,T05,692.00,1000.00,18.00
MI,MN,F07,T03,71.00,200.00,60.00
ID,AZ,F03,T00,22.00,70.00,33.00
CA,TN,F03,T00,48.00,72.00,94.00
NY,NY,F06,T04,455.00,660.00,37.00
CA,CA,F05,T00,14943.00,12202.00,401.00
IA,LA,F02,T07,531.00,11056.00,7281.00
IN,TX,F04,T04,21.00,18.00,11.00
HI,HI,F07,T03,714.00,1338.00,10.00
IL,NJ,F07,T04,164.00,196.00,80.00
SC,CA,F05,T04,36.00,52.00,65.00
GA,IL,F07,T00,70.00,120.00,41.00
AL,FL,F05,T03,130.00,208.00,46.00
NH,NH,F07,T03,259.00,780.00,13.00
VA,FL,F06,T00,167.00,108.00,41.00
KS,IN,F05,T00,100.00,62.00,27.00
MS,AL,F05,T04,137.00,164.00,19.00
OH,TN,F06,T00,282.00,494.00,110.00
NC,NY,F08,T03,56.00,246.00,68.00
WI,OH,F06,T05,61.00,70.00,14.00
FL,MS,F05,T00,30.00,30.00,9.00
SC,KS,F07,T00,42.00,14.00,8.00
AL,MS,F07,T00,306.00,478.00,44.00
AR,MD,F05,T00,111.00,48.00,28.00
NH,NJ,F07,T04,27.00,26.00,4.00
TN,CA,F06,T04,94.00,148.00,142.00
MN,WI,F05,T00,273.00,290.00,48.00
MS,MA,F05,T03,78.00,98.00,69.00
KS,OK,F05,T00,190.00,194.00,29.00
IN,AL,F04,T06,33.00,442.00,165.00
TX,LA,F08,T04,166.00,450.00,63.00
IN,MI,F03,T03,22.00,112.00,10.00
UT,TX,F06,T04,57.00,46.00,32.00
IL,LA,F02,T00,2080.00,51198.00,31096.00
MA,VA,F07,T04,57.00,110.00,31.00
ND,MN,F04,T03,29.00,254.00,26.00
KS,FL,F05,T04,245.00,116.00,88.00
IL,IL,F09,T00,471.00,16.00,1.00
NY,MO,F07,T04,110.00,172.00,82.00
GA,CA,F06,T04,107.00,128.00,146.00
GA,TN,F08,T03,142.00,462.00,55.00
WI,NC,F07,T03,279.00,164.00,78.00
CO,CO,F05,T03,748.00,476.00,12.00
ID,TX,F07,T03,64.00,162.00,123.00
AR,FL,F05,T05,117.00,128.00,60.00
TN,NY,F05,T04,39.00,26.00,11.00
VA,VA,F08,T03,1002.00,1512.00,52.00
KS,OK,F07,T04,137.00,1516.00,151.00
NJ,MO,F08,T03,48.00,70.00,39.00
IL,PA,F07,T04,1154.00,2088.00,698.00
MO,TX,F02,T00,509.00,10770.00,3649.00
MD,NH,F07,T00,20.00,28.00,6.00
NC,FL,F05,T03,313.00,342.00,116.00
