Source,Target,FoodCate,TransMode,ShipValue,ShipWeight,TonMiles
IN,NJ,F07,T04,113.00,124.00,44.00
IL,UT,F07,T00,83.00,72.00,50.00
CA,WI,F08,T04,29.00,28.00,31.00
ID,IN,F07,T00,19.00,46.00,41.00
ID,PA,F07,T06,28.00,128.00,156.00
CA,CA,F02,T05,184.00,648.00,12.00
CO,OR,F04,T03,11.00,28.00,18.00
WI,CA,F07,T04,452.00,428.00,447.00
TN,AR,F07,T03,300.00,1068.00,68.00
TX,LA,F08,T03,288.00,810.00,100.00
WV,WV,F05,T05,49.00,40.00,2.00
NE,AZ,F05,T04,175.00,144.00,90.00
AL,TN,F05,T04,134.00,132.00,16.00
AZ,CA,F06,T03,39.00,110.00,22.00
TX,NM,F07,T03,332.00,478.00,94.00
SC,SC,F05,T03,616.00,604.00,29.00
NJ,NY,F05,T03,870.00,580.00,23.00
IA,MO,F06,T04,249.00,580.00,73.00
AL,MN,F04,T04,9.00,60.00,31.00
OH,IN,F07,T00,812.00,2500.00,208.00
AL,AL,F07,T04,27.00,178.00,11.00
PA,DC,F05,T03,41.00,30.00,2.00
MN,IL,F01,T04,5.00,12.00,3.00
MI,UT,F05,T03,35.00,30.00,25.00
MD,MD,F06,T03,565.00,536.00,7.00
VA,SC,F05,T00,108.00,150.00,29.00
AL,OK,F07,T00,7.00,12.00,5.00
KY,MI,F06,T04,22.00,40.00,10.00
AL,TX,F05,T05,26.00,22.00,9.00
IA,NJ,F07,T04,21.00,78.00,39.00
KY,FL,F05,T04,36.00,24.00,10.00
MN,IN,F06,T00,38.00,106.00,30.00
TX,NM,F03,T00,77.00,842.00,45.00
GA,OH,F05,T00,196.00,218.00,63.00
IL,IA,F05,T00,235.00,224.00,26.00
IL,NJ,F07,T03,221.00,290.00,122.00
IA,IA,F08,T03,523.00,1062.00,30.00
AR,IL,F06,T03,28.00,68.00,21.00
NY,SC,F07,T04,43.00,108.00,44.00
KS,OK,F05,T04,89.00,76.00,9.00
TN,CA,F03,T03,307.00,342.00,324.00
OK,CA,F05,T03,38.00,34.00,24.00
MI,MN,F07,T03,98.00,130.00,37.00
NY,OH,F07,T03,430.00,614.00,111.00
KS,NE,F04,T05,7.00,26.00,1.00
VA,GA,F06,T04,48.00,70.00,18.00
IL,IL,F06,T05,1391.00,1336.00,26.00
LA,LA,F07,T05,1988.00,5290.00,115.00
MO,IL,F08,T04,153.00,456.00,58.00
GA,MN,F05,T03,35.00,48.00,27.00
NE,MN,F04,T00,46.00,168.00,28.00
OH,TN,F04,T00,63.00,232.00,44.00
FL,MI,F03,T00,64.00,206.00,133.00
IA,OK,F06,T05,5.00,2.00,1.00
FL,KY,F07,T00,66.00,164.00,80.00
AL,AL,F07,T05,1456.00,4864.00,169.00
PA,DE,F06,T05,36.00,42.00,2.00
AL,MI,F05,T03,129.00,126.00,47.00
MN,MA,F07,T04,49.00,48.00,34.00
WI,TX,F06,T04,27.00,26.00,15.00
ND,SD,F07,T05,65.00,74.00,8.00
KS,OK,F06,T06,21.00,174.00,22.00
CA,NM,F08,T04,34.00,74.00,36.00
GA,SC,F04,T03,179.00,1490.00,91.00
NE,CO,F06,T00,5.00,18.00,5.00
NH,TX,F05,T03,5.00,2.00,2.00
AR,TX,F05,T00,503.00,664.00,117.00
NY,FL,F07,T03,293.00,456.00,287.00
UT,CA,F07,T04,73.00,50.00,19.00
TX,LA,F07,T03,476.00,1076.00,213.00
ID,SC,F03,T00,7.00,12.00,15.00
CA,AZ,F07,T05,103.00,242.00,50.00
OH,NC,F05,T00,54.00,52.00,13.00
TX,AZ,F07,T00,166.00,564.00,216.00
OH,OH,F02,T03,848.00,13002.00,205.00
WA,OR,F02,T07,928.00,14772.00,2273.00
