State,ImportValue,ImportWeight,ImportTonMile,ExportValue,ExportWeight,ImportTonMile
AL,179022590.00,192073118.00,6349.00,22134.00,70206.00,4608.00
MI,43071956.00,108151802.00,14647.00,61066465.00,124136928.00,11656.00
WV,3104.00,8512.00,384.00,2064.00,5550.00,119.00
UT,11028.00,16482.00,3138.00,7426.00,9880.00,736.00
KS,10027652.00,32176058.00,9887.00,143033804.00,362219736.00,19085.00
MT,2277.00,4894.00,253.00,2273.00,6038.00,809.00
DE,2948.00,5884.00,430.00,2765.00,7870.00,694.00
WA,17048558.00,20165560.00,55534.00,40049198.00,86165332.00,23986.00
FL,186098037.00,260202672.00,25727.00,76700.00,179426.00,13859.00
TX,637178516.00,856453796.00,56631.00,793171295.00,644437350.00,43873.00
PA,15115598.00,30211676.00,25410.00,59103506.00,60187832.00,13098.00
AK,40000792.00,86001114.00,197.00,758.00,1030.00,32.00
AR,98023443.00,80091286.00,5889.00,28532.00,90894.00,8156.00
CO,25881.00,100962.00,8633.00,30026062.00,54100250.00,14559.00
NJ,202056553.00,234092062.00,13555.00,60012.00,85802.00,7250.00
NV,10419.00,15146.00,1009.00,8239.00,11998.00,834.00
WY,125.00,180.00,20.00,73.00,252.00,155.00
MN,57467.00,266082.00,21595.00,68221.00,318220.00,73948.00
SD,1358.00,3740.00,386.00,3270.00,5398.00,1859.00
OK,13421.00,41356.00,3655.00,11188.00,31288.00,5199.00
TN,40022.00,96182.00,11630.00,160046808.00,290098750.00,10997.00
KY,23312.00,47916.00,3497.00,52026261.00,40059720.00,12222.00
WI,65034.00,162420.00,15254.00,124084250.00,304163070.00,18447.00
NH,1736.00,3296.00,207.00,1437.00,3820.00,239.00
VT,2875.00,8230.00,572.00,2179.00,8894.00,698.00
AZ,19875.00,51954.00,5854.00,15277.00,43462.00,1814.00
OH,54088969.00,108234062.00,17708.00,57097340.00,102290288.00,34315.00
OR,25026038.00,128109184.00,16369.00,20719.00,57020.00,4113.00
SC,111021675.00,124050924.00,4992.00,19342.00,42462.00,2324.00
ND,6547.00,51316.00,2211.00,9307.00,92798.00,13208.00
IN,45608.00,132766.00,7703.00,44671.00,161444.00,18986.00
MO,61050174.00,140156036.00,13381.00,48784.00,170776.00,28015.00
RI,400.00,590.00,141.00,0.00,0.00,0.00
NM,4586.00,12032.00,1060.00,2743.00,4470.00,194.00
ME,2890.00,4790.00,517.00,2239.00,3722.00,199.00
ID,5603.00,17074.00,1071.00,9348.00,27548.00,6697.00
NY,90111567.00,182214270.00,17411.00,106905.00,212534.00,18881.00
LA,304047438.00,4352401258.00,200314.00,304019677.00,4352060498.00,3030.00
DC,702.00,658.00,25.00,0.00,0.00,0.00
CT,11798.00,19998.00,1046.00,9451.00,13892.00,475.00
HI,433004754.00,926005136.00,1078.00,312004633.00,554004764.00,139.00
IA,10047387.00,24275036.00,9908.00,76583.00,385460.00,58102.00
NC,152059432.00,182190794.00,23601.00,56974.00,155146.00,8592.00
MD,26442.00,55034.00,4790.00,29174.00,63308.00,2655.00
GA,137066097.00,186173932.00,25051.00,13058264.00,18142274.00,11160.00
MA,37926.00,57962.00,8184.00,154031277.00,128041498.00,2266.00
NE,21353.00,175334.00,5518.00,49616.00,238696.00,46839.00
VA,38851.00,86072.00,12063.00,35459.00,75476.00,6791.00
MS,16253.00,35618.00,3007.00,13294.00,31300.00,2569.00
CA,1188277229.00,1948576640.00,79765.00,1324264915.00,2340563470.00,65607.00
IL,321134042.00,408504416.00,30260.00,687147426.00,1148705472.00,153428.00
