State,ImportValue,ImportWeight,ImportTonMile,ExportValue,ExportWeight,ImportTonMile
AL,36081.00,83280.00,14759.00,30373.00,55696.00,4566.00
MI,77607.00,128626.00,16516.00,74456.00,122454.00,14120.00
WV,4854.00,8634.00,663.00,2913.00,3344.00,360.00
UT,21272.00,34480.00,7111.00,15163.00,26056.00,3667.00
KS,32556.00,148924.00,9661.00,53190.00,173886.00,17301.00
MT,3654.00,8250.00,1228.00,4142.00,12192.00,3154.00
DE,3593.00,9920.00,354.00,3751.00,7352.00,962.00
WA,61947.00,116408.00,23354.00,50339.00,97420.00,15362.00
FL,147053.00,245936.00,37784.00,124261.00,220876.00,23461.00
TX,271196.00,628920.00,104593.00,231723.00,523934.00,45553.00
PA,143741.00,225050.00,37998.00,131577.00,214736.00,24543.00
AK,1629.00,1718.00,236.00,1752.00,1742.00,106.00
AR,39948.00,101538.00,9252.00,49086.00,117934.00,14514.00
CO,31466.00,57312.00,7163.00,32748.00,63736.00,11258.00
NJ,87130.00,114390.00,16296.00,80604.00,92460.00,8963.00
NV,14669.00,22124.00,3843.00,9698.00,12148.00,2127.00
WY,1768.00,2994.00,352.00,1196.00,2838.00,524.00
MN,60425.00,194670.00,14563.00,81215.00,262960.00,65619.00
SD,7407.00,65972.00,2334.00,13297.00,84354.00,7942.00
OK,25123.00,78056.00,7808.00,18912.00,54074.00,4661.00
TN,59096.00,124316.00,17251.00,66268.00,118900.00,13543.00
KY,30997.00,52724.00,5901.00,34174.00,57408.00,13827.00
WI,84781.00,130714.00,15595.00,107401.00,146090.00,23094.00
NH,6382.00,10600.00,962.00,6800.00,12044.00,516.00
VT,3707.00,4966.00,882.00,5729.00,5778.00,1026.00
AZ,56445.00,95704.00,14361.00,38294.00,67112.00,3254.00
OH,121775.00,289006.00,25205.00,118740.00,311712.00,28846.00
OR,36836.00,69894.00,8950.00,46837.00,80712.00,17945.00
SC,24926.00,43240.00,6620.00,15039.00,26248.00,1951.00
ND,7044.00,39814.00,3317.00,9487.00,54100.00,14080.00
IN,67856.00,140558.00,12389.00,83290.00,213638.00,29257.00
MO,51930.00,102066.00,12900.00,58377.00,199566.00,57635.00
RI,4600.00,5652.00,310.00,3275.00,2436.00,139.00
NM,8546.00,17148.00,2862.00,9337.00,17722.00,2049.00
ME,6462.00,8020.00,1772.00,7569.00,27678.00,4359.00
ID,8367.00,19512.00,4165.00,14384.00,32352.00,12933.00
NY,181985.00,231904.00,32635.00,175824.00,223550.00,20937.00
LA,83072.00,662518.00,178780.00,53747.00,350286.00,6129.00
NC,134762.00,171044.00,20805.00,147101.00,163796.00,16023.00
CT,26729.00,37080.00,2262.00,25031.00,31320.00,1014.00
HI,9278.00,9310.00,3457.00,8374.00,7292.00,353.00
IA,77670.00,415208.00,15964.00,113490.00,533358.00,74663.00
DC,2508.00,2386.00,22.00,1704.00,1392.00,3.00
MD,43485.00,70634.00,6686.00,33634.00,53836.00,2984.00
GA,104541.00,179516.00,34290.00,92176.00,141430.00,15794.00
MA,57729.00,64436.00,11942.00,46476.00,41260.00,3725.00
NE,27858.00,145260.00,8703.00,58077.00,229072.00,58889.00
VA,80238.00,88732.00,12091.00,84766.00,97044.00,9256.00
MS,15055.00,45398.00,4274.00,16225.00,60130.00,9638.00
CA,442875.00,734192.00,131082.00,464962.00,752176.00,133334.00
IL,196450.00,458342.00,40759.00,180120.00,537466.00,107103.00
