Source,Target,FoodCate,TransMode,ShipValue,ShipWeight,TonMiles
NM,NM,F09,T00,51.00,2.00,0.00
FL,AR,F05,T00,16.00,8.00,5.00
PA,UT,F07,T04,56.00,66.00,67.00
OK,MS,F09,T03,5.00,0.00,0.00
IL,UT,F07,T00,120.00,86.00,60.00
OH,MA,F08,T00,50.00,48.00,19.00
WV,TX,F05,T00,61.00,42.00,27.00
TX,UT,F05,T03,91.00,58.00,39.00
CA,WI,F08,T04,35.00,36.00,40.00
ND,MO,F04,T03,12.00,78.00,31.00
ID,KS,F04,T00,5.00,12.00,9.00
TX,OH,F04,T00,10.00,20.00,13.00
NE,UT,F04,T00,19.00,128.00,64.00
CO,OR,F04,T03,186.00,306.00,181.00
CA,ME,F03,T03,36.00,76.00,126.00
ID,AZ,F03,T04,16.00,44.00,25.00
GA,AL,F05,T05,318.00,180.00,18.00
NC,KY,F09,T04,7.00,2.00,0.00
CT,NY,F07,T04,69.00,120.00,11.00
TX,LA,F08,T03,342.00,878.00,136.00
FL,IL,F05,T00,162.00,50.00,29.00
NE,AZ,F05,T04,64.00,56.00,39.00
WV,KY,F06,T00,21.00,42.00,2.00
AL,TN,F05,T04,52.00,34.00,5.00
TX,NM,F07,T03,517.00,832.00,171.00
SC,SC,F05,T03,584.00,476.00,15.00
NC,CA,F05,T04,304.00,224.00,301.00
NY,AL,F07,T00,51.00,58.00,30.00
NJ,NY,F05,T03,1646.00,870.00,27.00
IN,KS,F04,T00,28.00,26.00,9.00
MD,DE,F08,T00,9.00,4.00,0.00
IN,MI,F04,T04,200.00,564.00,63.00
OH,IN,F07,T00,1249.00,3762.00,262.00
IN,WA,F05,T00,21.00,10.00,12.00
MI,IA,F05,T00,15.00,8.00,3.00
NM,TX,F08,T05,45.00,172.00,32.00
NY,OK,F08,T03,9.00,20.00,13.00
IL,OH,F07,T06,182.00,804.00,146.00
IN,MO,F01,T03,33.00,34.00,8.00
VA,SC,F05,T00,36.00,18.00,4.00
AL,OK,F07,T00,10.00,8.00,3.00
NV,VA,F07,T04,15.00,16.00,19.00
MA,NV,F07,T04,17.00,24.00,33.00
AL,TX,F05,T05,5.00,4.00,2.00
WA,NC,F05,T04,43.00,10.00,14.00
MO,KY,F08,T00,34.00,108.00,17.00
KY,MS,F07,T04,21.00,40.00,9.00
PA,AL,F07,T00,80.00,254.00,105.00
FL,ND,F07,T00,4.00,8.00,8.00
WI,NE,F03,T03,1.00,4.00,1.00
PA,NC,F04,T03,139.00,384.00,92.00
MS,AR,F07,T04,18.00,52.00,7.00
NV,IN,F07,T03,17.00,18.00,17.00
NY,TN,F06,T04,66.00,58.00,24.00
GA,OH,F05,T00,256.00,158.00,48.00
IL,IA,F05,T00,437.00,408.00,38.00
IL,NJ,F07,T03,226.00,344.00,139.00
VA,AZ,F05,T00,7.00,2.00,2.00
CO,WI,F07,T04,29.00,20.00,10.00
NY,SC,F07,T04,55.00,58.00,22.00
KS,OK,F05,T04,358.00,174.00,28.00
WI,MN,F08,T00,200.00,546.00,102.00
TX,CA,F06,T06,73.00,346.00,209.00
WI,NM,F07,T00,7.00,4.00,3.00
TX,MN,F04,T00,5.00,32.00,21.00
AR,NV,F05,T00,11.00,6.00,5.00
OK,NY,F05,T00,21.00,8.00,6.00
NY,OH,F07,T03,534.00,734.00,154.00
MO,MA,F05,T00,11.00,12.00,9.00
VA,GA,F06,T04,218.00,108.00,26.00
IL,IL,F06,T05,1993.00,2478.00,85.00
VA,GA,F07,T03,263.00,280.00,63.00
UT,SC,F06,T04,21.00,16.00,16.00
NH,NH,F05,T05,76.00,30.00,1.00
FL,NY,F01,T00,1.00,0.00,0.00
MO,IL,F08,T04,528.00,1006.00,91.00
GA,MN,F05,T03,143.00,184.00,106.00
NE,MN,F04,T00,85.00,292.00,69.00
AZ,NE,F05,T00,12.00,4.00,3.00
