Source,Target,FoodCate,TransMode,ShipValue,ShipWeight,TonMiles
KY,MI,F07,T03,92.00,66.00,14.00
ID,PA,F03,T04,49.00,146.00,168.00
WI,MI,F05,T03,420.00,248.00,50.00
FL,MI,F03,T00,47.00,62.00,40.00
FL,MN,F05,T04,24.00,6.00,6.00
MD,GA,F06,T00,56.00,54.00,18.00
AR,AR,F03,T00,314.00,1442.00,45.00
AL,AL,F07,T05,2307.00,4628.00,118.00
CA,IN,F06,T00,32.00,26.00,28.00
MN,MA,F07,T04,69.00,48.00,35.00
TX,PA,F05,T00,319.00,162.00,130.00
CT,RI,F04,T00,1.00,6.00,0.00
GA,MI,F06,T00,17.00,24.00,10.00
UT,NV,F03,T03,74.00,148.00,37.00
PA,NC,F08,T04,26.00,84.00,20.00
MA,FL,F07,T00,83.00,68.00,45.00
MT,UT,F06,T03,5.00,30.00,9.00
WV,CA,F05,T03,35.00,20.00,28.00
CA,NM,F08,T04,44.00,62.00,30.00
NC,MA,F07,T00,0.00,0.00,0.00
KS,IA,F04,T03,9.00,50.00,8.00
VA,NJ,F07,T04,99.00,204.00,33.00
AR,LA,F02,T08,305.00,3908.00,980.00
NC,NY,F07,T04,176.00,424.00,140.00
AR,TX,F05,T00,705.00,574.00,147.00
UT,CO,F07,T00,149.00,300.00,59.00
LA,MA,F05,T00,18.00,18.00,13.00
NH,RI,F03,T05,1.00,0.00,0.00
AZ,NY,F03,T00,29.00,70.00,91.00
TX,LA,F07,T03,832.00,1276.00,233.00
KS,IN,F05,T03,354.00,186.00,72.00
AR,IL,F07,T04,154.00,276.00,85.00
NM,TN,F06,T03,20.00,26.00,17.00
IL,VA,F02,T00,6.00,70.00,34.00
CA,AZ,F07,T05,285.00,558.00,116.00
OH,NC,F05,T00,35.00,20.00,5.00
TX,AZ,F07,T00,197.00,278.00,154.00
CT,AL,F07,T03,2.00,2.00,1.00
GA,IA,F07,T03,44.00,70.00,36.00
CA,KS,F03,T03,27.00,56.00,47.00
WA,CT,F05,T04,3.00,2.00,2.00
WV,OK,F09,T03,8.00,2.00,1.00
NC,CA,F07,T04,43.00,66.00,86.00
MI,CA,F06,T04,289.00,306.00,356.00
NY,MO,F03,T03,3.00,6.00,3.00
KS,TX,F05,T00,1078.00,742.00,219.00
GA,AL,F07,T04,373.00,564.00,62.00
MA,AZ,F07,T03,1.00,0.00,0.00
NH,NH,F07,T00,576.00,1496.00,27.00
IA,IA,F03,T00,2716.00,18592.00,433.00
CA,NV,F06,T00,344.00,586.00,66.00
TN,GA,F06,T03,835.00,2108.00,235.00
NC,NE,F07,T03,8.00,14.00,10.00
IL,WA,F05,T03,361.00,76.00,78.00
MI,WA,F06,T04,48.00,36.00,40.00
MS,IL,F05,T03,195.00,130.00,53.00
CA,AZ,F06,T03,304.00,530.00,99.00
WI,KY,F05,T00,45.00,32.00,8.00
NJ,SC,F07,T03,32.00,26.00,8.00
SD,WA,F03,T06,305.00,1806.00,1422.00
NC,IA,F09,T04,0.00,0.00,0.00
MN,ND,F04,T03,93.00,1054.00,198.00
GA,NE,F07,T03,7.00,6.00,3.00
GA,MA,F05,T04,84.00,52.00,29.00
NC,CA,F08,T03,1.00,0.00,0.00
OH,OH,F04,T03,2190.00,9454.00,246.00
ME,MA,F05,T04,40.00,22.00,1.00
CA,VT,F03,T03,23.00,18.00,28.00
FL,NC,F05,T04,233.00,154.00,49.00
VA,TN,F07,T00,291.00,392.00,46.00
WI,IL,F07,T05,799.00,770.00,58.00
OR,NJ,F07,T04,67.00,84.00,121.00
CA,IA,F03,T03,53.00,82.00,72.00
VA,MS,F06,T03,20.00,12.00,5.00
WI,OH,F07,T05,136.00,90.00,26.00
VA,IL,F07,T04,344.00,430.00,167.00
VA,NC,F04,T00,87.00,688.00,47.00
MT,NM,F07,T14,0.00,0.00,0.00
FL,MD,F05,T00,138.00,32.00,16.00
MO,NY,F01,T03,5.00,0.00,0.00
AZ,AZ,F03,T05,235.00,424.00,8.00
IA,MI,F05,T03,350.00,268.00,84.00
FL,VT,F07,T00,5.00,6.00,4.00
AL,SC,F07,T00,56.00,60.00,11.00
MI,FL,F07,T00,92.00,124.00,81.00
IN,VA,F02,T06,70.00,908.00,335.00
RI,VT,F04,T00,9.00,12.00,2.00
NC,IA,F09,T00,0.00,0.00,0.00
CO,AL,F03,T00,7.00,42.00,32.00
TN,DE,F07,T00,8.00,32.00,15.00
MT,MT,F04,T05,6.00,94.00,5.00
KY,GA,F07,T05,21.00,36.00,8.00
ID,IA,F05,T04,15.00,6.00,5.00
VA,VA,F09,T03,8972.00,348.00,3.00
CA,WA,F05,T04,357.00,200.00,94.00
KY,IL,F08,T00,58.00,48.00,9.00
AL,MS,F07,T05,80.00,212.00,13.00
KY,WA,F07,T03,13.00,14.00,17.00
ID,IL,F05,T00,36.00,20.00,16.00
NH,MA,F07,T00,175.00,418.00,12.00
RI,MA,F04,T03,40.00,44.00,1.00
MN,SC,F06,T00,7.00,12.00,7.00
DE,NJ,F05,T03,159.00,176.00,16.00
WY,WY,F07,T00,143.00,338.00,24.00
HI,HI,F05,T05,667.00,312.00,2.00
IA,CA,F07,T05,15.00,24.00,22.00
MO,VA,F07,T04,106.00,76.00,38.00
MI,VA,F05,T03,66.00,18.00,6.00
MS,LA,F02,T07,292.00,3752.00,974.00
FL,FL,F07,T05,8534.00,19314.00,592.00
AL,AL,F05,T04,482.00,506.00,18.00
NE,VA,F07,T04,17.00,12.00,7.00
OR,ID,F06,T03,33.00,72.00,14.00
HI,MN,F03,T11,1.00,0.00,1.00
OH,TN,F06,T03,144.00,158.00,35.00
MS,IN,F05,T04,17.00,8.00,3.00
TX,AR,F08,T00,138.00,476.00,98.00
AL,PA,F05,T04,79.00,44.00,18.00
MO,WA,F04,T04,50.00,84.00,86.00
NY,CT,F05,T05,234.00,90.00,6.00
LA,KS,F06,T04,1.00,0.00,0.00
CA,UT,F07,T04,1083.00,1768.00,649.00
VA,IN,F07,T00,41.00,98.00,27.00
KY,SC,F04,T03,3.00,8.00,2.00
NM,AZ,F03,T00,4.00,2.00,0.00
ID,ID,F08,T03,290.00,508.00,11.00
PA,NY,F05,T00,943.00,518.00,43.00
KS,SC,F05,T00,67.00,52.00,37.00
MN,WI,F05,T03,579.00,492.00,89.00
OH,GA,F06,T04,181.00,188.00,56.00
OR,MS,F07,T04,34.00,38.00,46.00
IN,MI,F07,T00,629.00,748.00,87.00
ME,TX,F06,T04,3.00,4.00,4.00
NY,ID,F09,T03,1.00,0.00,0.00
ME,CA,F05,T04,15.00,4.00,6.00
MN,NY,F05,T00,200.00,112.00,65.00
NH,NH,F08,T03,434.00,734.00,11.00
PA,AR,F04,T00,8.00,26.00,12.00
PA,AZ,F05,T00,0.00,0.00,0.00
TN,WI,F07,T03,110.00,140.00,51.00
NC,TX,F07,T03,91.00,174.00,99.00
WI,CA,F07,T04,655.00,614.00,646.00
ND,PA,F04,T04,12.00,36.00,23.00
NC,MA,F09,T00,398.00,12.00,4.00
SC,NC,F07,T00,253.00,734.00,62.00
NJ,PA,F04,T00,102.00,110.00,6.00
FL,KY,F04,T00,2.00,2.00,1.00
IA,TN,F06,T00,150.00,302.00,112.00
AR,LA,F06,T04,23.00,74.00,18.00
NC,MD,F07,T03,77.00,168.00,36.00
KY,PA,F04,T03,4.00,8.00,2.00
VA,MO,F05,T04,77.00,48.00,24.00
IA,IA,F04,T00,4345.00,33350.00,986.00
IA,AL,F05,T04,84.00,82.00,39.00
OK,TX,F04,T04,444.00,2392.00,297.00
CA,OK,F03,T04,40.00,40.00,31.00
ID,IL,F07,T06,188.00,656.00,536.00
SD,FL,F05,T00,10.00,6.00,5.00
FL,ID,F09,T04,2.00,0.00,0.00
CA,SC,F07,T03,43.00,92.00,102.00
TN,SC,F06,T05,130.00,184.00,28.00
VA,IL,F03,T04,7.00,12.00,6.00
CO,MO,F06,T04,8.00,14.00,5.00
LA,SC,F07,T04,40.00,66.00,26.00
KS,SD,F07,T05,19.00,4.00,1.00
VA,VA,F09,T14,9.00,0.00,0.00
IL,TX,F07,T05,17.00,36.00,15.00
NY,VA,F07,T03,244.00,412.00,96.00
VA,IN,F04,T00,4.00,14.00,5.00
IL,MO,F07,T14,4.00,0.00,0.00
MI,CA,F07,T03,139.00,138.00,155.00
NH,AL,F07,T00,10.00,8.00,5.00
WA,NY,F03,T04,77.00,158.00,215.00
PA,NY,F07,T00,2591.00,3498.00,423.00
UT,CO,F04,T00,1.00,2.00,0.00
IL,IN,F06,T03,681.00,1108.00,97.00
OR,TX,F06,T03,38.00,30.00,36.00
ID,NE,F05,T00,36.00,24.00,15.00
NV,UT,F06,T00,41.00,60.00,11.00
AK,NY,F05,T00,2.00,0.00,0.00
SD,SD,F09,T03,24.00,2.00,0.00
MN,WI,F07,T03,1606.00,2318.00,302.00
DE,NC,F07,T00,5.00,8.00,2.00
CA,NV,F08,T05,20.00,36.00,5.00
SC,CA,F07,T04,82.00,16.00,20.00
NJ,AL,F07,T04,82.00,50.00,24.00
MD,MD,F07,T03,3592.00,6982.00,85.00
MD,GA,F06,T03,56.00,54.00,18.00
MA,MN,F07,T03,50.00,50.00,35.00
OK,MI,F05,T03,12.00,10.00,6.00
CA,WI,F06,T04,1.00,0.00,0.00
KY,OH,F06,T03,183.00,172.00,15.00
ID,WI,F03,T04,19.00,44.00,34.00
SD,KY,F07,T03,15.00,6.00,3.00
WY,IN,F03,T03,12.00,48.00,25.00
MI,PA,F06,T04,288.00,352.00,108.00
MO,CO,F08,T05,8.00,4.00,1.00
KY,OK,F08,T04,19.00,8.00,3.00
KS,AZ,F06,T00,41.00,56.00,36.00
CT,FL,F03,T03,8.00,2.00,2.00
AZ,AZ,F02,T03,19.00,204.00,5.00
IL,WI,F01,T03,6.00,8.00,2.00
OH,MI,F05,T00,146.00,92.00,12.00
NC,VT,F07,T04,11.00,12.00,5.00
NC,MI,F05,T00,88.00,86.00,30.00
MS,AR,F05,T04,72.00,60.00,15.00
WI,MS,F03,T04,6.00,24.00,9.00
MA,TN,F07,T03,37.00,48.00,25.00
MN,TN,F07,T03,70.00,76.00,37.00
TN,MN,F06,T03,2.00,6.00,3.00
CT,MA,F07,T00,536.00,634.00,24.00
OR,KY,F07,T00,31.00,44.00,51.00
KS,CA,F01,T04,2.00,0.00,0.00
OH,OH,F05,T05,1795.00,1050.00,22.00
PA,AZ,F09,T14,0.00,0.00,0.00
KS,OR,F06,T00,19.00,26.00,23.00
LA,MN,F05,T03,34.00,32.00,20.00
OH,NV,F06,T00,22.00,20.00,23.00
CO,CA,F08,T03,202.00,486.00,279.00
NH,VT,F05,T00,5.00,2.00,0.00
TX,NC,F07,T03,133.00,220.00,151.00
AR,IL,F05,T00,151.00,142.00,47.00
NJ,CA,F07,T06,42.00,38.00,61.00
MT,MT,F07,T00,485.00,1248.00,82.00
MN,WI,F08,T00,94.00,264.00,41.00
MI,VA,F05,T00,66.00,18.00,6.00
NE,AZ,F04,T04,44.00,76.00,50.00
AZ,WA,F07,T04,118.00,128.00,96.00
NV,CA,F05,T00,80.00,30.00,4.00
MA,TN,F05,T04,62.00,30.00,17.00
KY,AL,F04,T00,5.00,24.00,6.00
TX,OK,F04,T04,33.00,266.00,33.00
PA,KY,F03,T00,4.00,8.00,3.00
FL,TN,F07,T04,90.00,222.00,82.00
NY,KY,F08,T03,6.00,6.00,2.00
MI,IL,F06,T00,693.00,754.00,100.00
DE,DE,F04,T00,95.00,896.00,9.00
WI,WI,F08,T00,2290.00,3604.00,102.00
WA,KS,F05,T04,32.00,4.00,4.00
IL,PA,F07,T00,1296.00,1548.00,591.00
KY,GA,F08,T00,126.00,76.00,24.00
NY,ID,F07,T00,13.00,14.00,16.00
TX,MS,F07,T04,87.00,146.00,37.00
VA,DC,F07,T00,40.00,56.00,1.00
FL,AR,F07,T03,19.00,28.00,15.00
DE,GA,F07,T04,16.00,22.00,8.00
IL,VA,F02,T06,6.00,70.00,34.00
IA,IN,F04,T03,160.00,390.00,76.00
KY,KY,F01,T05,345.00,172.00,3.00
MT,AZ,F04,T04,1.00,2.00,2.00
NH,MS,F05,T04,0.00,0.00,0.00
VA,WI,F06,T03,4.00,6.00,3.00
RI,MD,F05,T03,2.00,0.00,0.00
MN,NY,F05,T03,200.00,112.00,65.00
ID,TX,F03,T03,54.00,222.00,198.00
CA,CT,F08,T04,49.00,50.00,73.00
OR,MT,F07,T03,57.00,114.00,48.00
NC,OH,F05,T00,235.00,250.00,64.00
CO,NM,F03,T00,13.00,40.00,6.00
NY,NY,F04,T04,328.00,1758.00,73.00
MA,CT,F07,T04,84.00,108.00,6.00
MS,NC,F05,T00,74.00,72.00,27.00
IL,GA,F07,T14,1.00,0.00,0.00
MT,UT,F06,T00,5.00,30.00,9.00
WI,IL,F07,T14,6.00,0.00,0.00
ID,KY,F07,T04,4.00,2.00,2.00
OR,MI,F05,T00,1.00,0.00,0.00
NJ,PA,F04,T03,102.00,110.00,6.00
TX,WI,F05,T04,110.00,78.00,46.00
AL,PA,F07,T04,24.00,16.00,8.00
UT,WY,F07,T00,37.00,106.00,11.00
MA,NY,F03,T03,96.00,122.00,13.00
GA,SC,F05,T00,406.00,306.00,36.00
NV,ID,F04,T03,1.00,34.00,6.00
KY,IL,F07,T04,144.00,206.00,36.00
AL,AL,F08,T00,949.00,1426.00,16.00
NY,FL,F06,T03,141.00,148.00,88.00
OK,LA,F03,T03,1.00,14.00,4.00
UT,WA,F04,T00,14.00,56.00,22.00
FL,WA,F06,T04,1.00,0.00,1.00
MO,NV,F04,T04,11.00,16.00,15.00
TN,GA,F07,T00,586.00,1340.00,178.00
IN,KY,F03,T00,113.00,430.00,30.00
IA,OK,F07,T04,25.00,76.00,26.00
MD,VA,F09,T05,64.00,2.00,0.00
ID,MA,F03,T00,17.00,82.00,108.00
IN,TN,F05,T04,147.00,126.00,22.00
OK,OK,F07,T00,1335.00,3684.00,72.00
OH,MS,F04,T04,10.00,18.00,7.00
OK,LA,F05,T03,82.00,72.00,24.00
FL,LA,F07,T03,29.00,102.00,33.00
NC,ME,F03,T03,12.00,14.00,7.00
TN,IL,F07,T05,13.00,8.00,2.00
NH,RI,F08,T03,26.00,66.00,3.00
IN,IN,F05,T00,970.00,650.00,29.00
WY,UT,F03,T00,8.00,32.00,8.00
VA,KY,F07,T03,329.00,384.00,53.00
MO,LA,F02,T07,1341.00,19148.00,8911.00
ID,MT,F05,T04,1.00,0.00,0.00
NY,SC,F06,T00,5.00,6.00,2.00
OH,OH,F08,T03,3807.00,6720.00,184.00
LA,LA,F07,T00,3850.00,12100.00,302.00
WA,MD,F03,T03,31.00,58.00,77.00
IA,NM,F05,T04,28.00,14.00,8.00
FL,MS,F03,T00,3.00,2.00,1.00
OH,OH,F02,T00,1097.00,14842.00,293.00
AL,KY,F07,T00,19.00,32.00,6.00
WA,KS,F05,T00,32.00,4.00,4.00
NY,VA,F06,T04,33.00,34.00,8.00
WI,MA,F07,T00,321.00,174.00,101.00
TX,IL,F07,T03,244.00,334.00,196.00
MD,DC,F08,T00,24.00,6.00,0.00
AK,MD,F05,T11,2.00,0.00,1.00
MD,AZ,F04,T00,7.00,6.00,9.00
AR,TN,F06,T03,93.00,324.00,38.00
IL,IL,F02,T04,1315.00,19912.00,372.00
ND,ND,F02,T03,701.00,6658.00,290.00
ID,UT,F07,T00,330.00,448.00,51.00
FL,KS,F01,T00,572.00,478.00,373.00
MO,AR,F06,T03,107.00,262.00,37.00
OR,TX,F05,T00,0.00,0.00,0.00
NC,NY,F03,T04,78.00,128.00,41.00
WA,UT,F06,T03,22.00,20.00,8.00
FL,IL,F03,T04,233.00,228.00,138.00
IL,OR,F05,T04,74.00,30.00,32.00
OH,IL,F07,T00,654.00,812.00,146.00
AZ,PA,F03,T04,2.00,4.00,5.00
FL,TN,F09,T04,47.00,2.00,1.00
NJ,PA,F06,T05,254.00,320.00,16.00
PA,DC,F05,T00,59.00,26.00,2.00
VA,OH,F07,T04,146.00,282.00,54.00
MN,OK,F07,T00,54.00,252.00,100.00
MT,CA,F01,T04,115.00,250.00,184.00
IL,IL,F01,T03,93.00,286.00,12.00
WA,IL,F06,T03,23.00,28.00,28.00
IL,NH,F05,T00,8.00,2.00,1.00
PA,TN,F05,T00,12.00,8.00,3.00
ND,WI,F07,T00,32.00,118.00,37.00
CA,IL,F05,T03,262.00,114.00,110.00
IL,TN,F01,T03,2.00,4.00,1.00
OK,FL,F05,T00,53.00,34.00,25.00
NJ,CT,F08,T04,90.00,250.00,14.00
TX,AZ,F05,T04,314.00,192.00,86.00
WV,AR,F09,T00,0.00,0.00,0.00
DE,IL,F05,T03,43.00,36.00,15.00
LA,GA,F05,T03,33.00,12.00,3.00
IN,OH,F07,T03,1549.00,2748.00,260.00
IL,LA,F02,T07,1852.00,26460.00,16688.00
AK,AK,F03,T05,44.00,58.00,0.00
IN,WI,F07,T00,338.00,1128.00,119.00
IN,OH,F04,T03,265.00,1042.00,95.00
AR,MS,F05,T03,114.00,100.00,20.00
OK,AL,F06,T04,7.00,20.00,8.00
WI,IA,F05,T03,355.00,190.00,20.00
NY,IL,F07,T03,496.00,760.00,273.00
CA,OR,F07,T03,1236.00,1520.00,597.00
DE,OH,F05,T04,17.00,34.00,8.00
MI,IN,F04,T00,8.00,52.00,9.00
TN,MI,F07,T00,130.00,132.00,43.00
NJ,NC,F04,T00,40.00,24.00,7.00
MT,CO,F06,T04,7.00,42.00,16.00
MN,SD,F07,T03,73.00,252.00,25.00
AR,GA,F04,T04,5.00,114.00,38.00
NM,MD,F07,T03,33.00,24.00,25.00
IL,VA,F04,T14,0.00,0.00,0.00
SD,IA,F05,T00,316.00,154.00,17.00
WA,ID,F04,T00,3.00,18.00,6.00
CA,CA,F07,T00,40642.00,84742.00,4483.00
OK,KS,F06,T03,29.00,58.00,6.00
CA,UT,F03,T00,94.00,114.00,45.00
IN,MA,F06,T04,63.00,60.00,29.00
MA,TX,F05,T04,86.00,38.00,34.00
OH,PA,F01,T00,26.00,30.00,7.00
OH,KY,F08,T04,100.00,276.00,24.00
OK,AR,F02,T03,1.00,8.00,0.00
VA,MA,F05,T03,124.00,86.00,25.00
NC,NC,F03,T00,1055.00,2544.00,98.00
PA,AR,F04,T03,8.00,26.00,12.00
WI,NE,F08,T03,56.00,172.00,45.00
WY,IL,F03,T04,16.00,64.00,31.00
AL,KY,F03,T00,4.00,4.00,1.00
FL,LA,F07,T04,29.00,102.00,33.00
NC,AL,F05,T04,69.00,78.00,22.00
TX,NY,F06,T03,23.00,22.00,20.00
MD,NC,F08,T00,69.00,90.00,14.00
NE,TX,F02,T06,775.00,9882.00,5072.00
MD,MI,F07,T04,77.00,92.00,27.00
WI,GA,F04,T00,25.00,88.00,41.00
AL,MD,F05,T03,68.00,52.00,22.00
VA,CO,F05,T00,3.00,2.00,1.00
AR,TX,F09,T14,4.00,0.00,0.00
MI,AZ,F06,T04,48.00,52.00,54.00
AL,LA,F06,T04,16.00,86.00,18.00
OH,CT,F07,T14,1.00,0.00,0.00
OK,IN,F05,T04,16.00,14.00,6.00
WA,GA,F05,T04,26.00,6.00,9.00
OR,MI,F07,T03,54.00,74.00,79.00
PA,MI,F04,T03,20.00,54.00,10.00
NY,WA,F07,T03,48.00,48.00,64.00
FL,IL,F06,T04,3.00,2.00,1.00
OK,NM,F06,T00,2.00,6.00,2.00
NC,NJ,F07,T00,133.00,166.00,43.00
NC,MD,F03,T03,28.00,56.00,11.00
IL,NJ,F05,T04,143.00,92.00,43.00
IA,IA,F02,T00,4093.00,59428.00,1118.00
OH,MT,F08,T00,2.00,4.00,3.00
MI,TX,F07,T00,206.00,322.00,205.00
AL,FL,F05,T04,65.00,64.00,16.00
IN,IN,F09,T04,26.00,2.00,0.00
MI,ND,F07,T04,8.00,18.00,9.00
ND,NE,F04,T04,7.00,136.00,41.00
NJ,NH,F07,T04,32.00,26.00,4.00
KY,OR,F05,T00,3.00,4.00,5.00
IA,AZ,F05,T00,117.00,100.00,81.00
KY,PA,F08,T04,104.00,38.00,12.00
MN,SD,F05,T03,59.00,110.00,13.00
MI,NY,F07,T03,179.00,420.00,117.00
RI,RI,F05,T00,222.00,146.00,1.00
NH,MA,F07,T03,175.00,418.00,12.00
KS,MI,F06,T04,32.00,42.00,16.00
IA,WA,F05,T04,137.00,60.00,52.00
KY,AR,F05,T03,84.00,78.00,20.00
NV,KS,F07,T00,1.00,0.00,0.00
AL,MO,F05,T03,58.00,76.00,24.00
MO,OH,F06,T03,54.00,96.00,31.00
VT,NY,F07,T03,136.00,86.00,12.00
NC,DE,F04,T00,7.00,34.00,8.00
FL,OH,F01,T14,1.00,0.00,0.00
TX,TX,F07,T14,134.00,30.00,3.00
VT,MD,F07,T03,34.00,16.00,5.00
WI,IN,F05,T03,275.00,202.00,30.00
WI,MI,F05,T05,177.00,134.00,27.00
GA,NC,F09,T03,40.00,14.00,2.00
KS,NJ,F01,T03,6.00,0.00,0.00
KS,CT,F06,T04,15.00,16.00,11.00
NH,TX,F07,T00,14.00,6.00,6.00
PA,KY,F07,T04,146.00,216.00,65.00
NH,NC,F07,T00,21.00,10.00,5.00
NE,UT,F05,T04,101.00,82.00,36.00
MS,MA,F06,T04,21.00,34.00,25.00
OH,MD,F05,T00,8.00,4.00,1.00
IL,IA,F04,T04,214.00,800.00,86.00
WI,FL,F03,T00,34.00,282.00,208.00
NC,MA,F03,T00,7.00,40.00,16.00
IN,TN,F06,T03,224.00,170.00,21.00
CA,IL,F06,T00,129.00,102.00,102.00
ID,UT,F02,T04,88.00,1052.00,90.00
MS,NC,F05,T03,74.00,72.00,27.00
NE,NE,F03,T04,511.00,3602.00,113.00
AR,AR,F02,T00,626.00,6178.00,184.00
AR,FL,F05,T03,430.00,232.00,134.00
ID,KS,F04,T03,5.00,12.00,9.00
NY,CA,F03,T00,113.00,92.00,129.00
NM,NY,F07,T03,45.00,24.00,21.00
IA,MN,F05,T03,282.00,180.00,22.00
MD,FL,F05,T00,31.00,26.00,13.00
ND,ID,F03,T00,2.00,10.00,7.00
IL,TN,F01,T00,2.00,4.00,1.00
WA,WA,F08,T05,1575.00,2110.00,37.00
NY,MS,F07,T04,17.00,24.00,12.00
MA,FL,F05,T04,166.00,38.00,27.00
RI,NC,F07,T04,0.00,0.00,0.00
CA,TX,F08,T14,20.00,2.00,3.00
NJ,NJ,F06,T00,1412.00,1220.00,25.00
MI,SC,F03,T03,2.00,6.00,2.00
AL,GA,F05,T05,261.00,264.00,30.00
WI,FL,F07,T00,364.00,298.00,208.00
MA,TN,F07,T04,37.00,48.00,25.00
NC,MO,F05,T00,115.00,96.00,46.00
AK,AK,F03,T04,24.00,24.00,6.00
MI,IN,F07,T04,277.00,386.00,44.00
KS,ID,F07,T04,2.00,4.00,2.00
OR,AZ,F07,T04,119.00,172.00,108.00
CT,WA,F06,T00,2.00,2.00,2.00
PA,RI,F07,T04,77.00,114.00,22.00
OH,MT,F08,T03,2.00,4.00,3.00
TN,LA,F07,T03,151.00,256.00,61.00
OR,IN,F06,T04,14.00,6.00,8.00
PA,FL,F07,T00,696.00,958.00,498.00
TN,NC,F03,T03,58.00,116.00,35.00
CO,KY,F05,T03,56.00,18.00,11.00
FL,MA,F03,T03,151.00,218.00,151.00
TX,AL,F05,T03,97.00,80.00,30.00
MS,LA,F02,T08,292.00,3752.00,974.00
MO,NJ,F01,T03,6.00,0.00,0.00
OH,MO,F07,T03,98.00,162.00,46.00
FL,OK,F06,T00,1.00,0.00,1.00
FL,MN,F01,T14,0.00,0.00,0.00
CT,ME,F06,T05,19.00,18.00,2.00
PA,MO,F09,T04,10.00,0.00,0.00
GA,NC,F03,T00,408.00,792.00,187.00
OH,NM,F08,T03,1.00,4.00,3.00
TX,OH,F07,T04,229.00,360.00,236.00
SC,CA,F07,T14,0.00,0.00,0.00
NY,VA,F08,T03,72.00,132.00,33.00
