Source,Target,FoodCate,TransMode,ShipValue,ShipWeight,ShipTonMile
AR,CA,F07,T00,82.00,104.00,88.00
AR,AL,F06,T00,3.00,4.00,1.00
UT,UT,F03,T14,1.00,0.00,0.00
NC,OH,F05,T00,235.00,250.00,64.00
PA,MA,F06,T00,102.00,96.00,18.00
FL,GA,F05,T00,432.00,292.00,57.00
MN,FL,F08,T03,2.00,4.00,2.00
MS,MS,F04,T03,681.00,5452.00,188.00
IA,CA,F06,T03,188.00,242.00,221.00
WI,IL,F09,T00,201.00,8.00,0.00
AR,AR,F03,T00,314.00,1442.00,45.00
OH,PA,F04,T00,603.00,1850.00,419.00
KS,TX,F06,T00,225.00,560.00,202.00
NV,WA,F07,T00,57.00,66.00,36.00
NY,OK,F06,T03,38.00,56.00,38.00
CA,MO,F03,T00,48.00,58.00,56.00
FL,FL,F03,T00,4437.00,10856.00,280.00
OH,NV,F06,T00,22.00,20.00,23.00
TX,OK,F04,T03,125.00,792.00,98.00
SD,FL,F05,T03,20.00,12.00,10.00
OR,OR,F07,T03,5023.00,8300.00,198.00
DE,NC,F07,T03,10.00,16.00,4.00
IA,IL,F05,T00,966.00,672.00,98.00
ME,NJ,F05,T03,2.00,0.00,0.00
MO,GA,F01,T00,2.00,0.00,0.00
WI,AZ,F05,T00,73.00,46.00,46.00
ID,ID,F08,T00,290.00,508.00,11.00
IL,TX,F06,T00,273.00,468.00,251.00
OR,GA,F07,T00,105.00,118.00,157.00
MN,IL,F06,T03,714.00,1536.00,343.00
IL,FL,F06,T03,159.00,264.00,155.00
NJ,CA,F07,T06,42.00,38.00,61.00
TX,MA,F03,T00,5.00,10.00,10.00
CA,VA,F03,T00,28.00,46.00,60.00
IL,WI,F07,T03,3016.00,5664.00,406.00
TN,LA,F06,T03,163.00,160.00,41.00
ND,NM,F04,T00,29.00,578.00,463.00
HI,TX,F05,T00,1.00,0.00,0.00
TN,KY,F05,T03,255.00,200.00,22.00
MA,MA,F03,T00,711.00,938.00,15.00
MI,MN,F04,T00,1.00,28.00,10.00
CA,AZ,F02,T03,6.00,20.00,6.00
HI,TN,F05,T00,1.00,0.00,0.00
MN,NE,F04,T03,66.00,184.00,29.00
SC,SC,F07,T00,1259.00,2866.00,90.00
MN,IA,F05,T03,1584.00,1168.00,124.00
TX,MI,F05,T00,98.00,54.00,35.00
OH,VA,F06,T00,97.00,92.00,22.00
NE,GA,F06,T00,189.00,220.00,109.00
FL,TN,F01,T14,1.00,0.00,0.00
TX,UT,F03,T03,16.00,16.00,14.00
MS,MD,F07,T00,13.00,14.00,6.00
WA,ID,F09,T03,50.00,4.00,0.00
GA,MS,F05,T03,218.00,146.00,32.00
IN,NY,F07,T00,87.00,204.00,60.00
CO,NY,F08,T06,97.00,304.00,307.00
MT,WA,F06,T00,17.00,66.00,21.00
NY,MN,F07,T00,68.00,86.00,44.00
MO,NC,F07,T00,48.00,32.00,17.00
MD,IL,F04,T03,14.00,16.00,6.00
ME,AZ,F05,T00,0.00,0.00,0.00
IN,CA,F02,T00,4.00,60.00,76.00
NY,VT,F04,T03,42.00,238.00,23.00
CT,NY,F07,T00,272.00,434.00,28.00
CA,ID,F05,T03,90.00,52.00,26.00
IA,NC,F05,T03,125.00,84.00,44.00
MO,WI,F06,T03,63.00,146.00,45.00
KY,KY,F04,T00,347.00,2526.00,69.00
NC,MO,F07,T00,37.00,76.00,33.00
TN,TX,F06,T03,278.00,356.00,126.00
OH,IL,F06,T00,425.00,456.00,81.00
AR,DE,F09,T14,1.00,0.00,0.00
TN,FL,F08,T03,222.00,56.00,22.00
OH,VT,F06,T03,5.00,8.00,2.00
KS,KS,F03,T00,750.00,5326.00,151.00
CA,NV,F08,T00,302.00,600.00,102.00
KS,CT,F06,T00,15.00,16.00,11.00
NE,TX,F02,T00,789.00,10096.00,5144.00
OH,WI,F05,T00,17.00,6.00,2.00
GA,IL,F08,T00,36.00,64.00,21.00
TX,MI,F03,T00,22.00,34.00,25.00
ID,WA,F07,T03,506.00,1040.00,263.00
IL,NY,F06,T03,289.00,552.00,187.00
CA,AZ,F06,T00,304.00,530.00,99.00
OK,GA,F06,T03,28.00,84.00,40.00
ME,DE,F05,T03,0.00,0.00,0.00
PA,NJ,F04,T03,169.00,442.00,31.00
UT,WA,F07,T00,100.00,86.00,37.00
IN,TN,F02,T00,248.00,3696.00,912.00
ME,TX,F06,T03,6.00,8.00,8.00
NE,NE,F04,T00,755.00,9892.00,329.00
NC,ME,F08,T00,7.00,24.00,11.00
NY,MI,F07,T14,1.00,0.00,0.00
FL,TN,F03,T03,88.00,256.00,116.00
VA,CT,F08,T00,10.00,22.00,5.00
NH,CT,F08,T00,13.00,32.00,2.00
WY,UT,F03,T03,16.00,64.00,16.00
DC,PA,F05,T03,14.00,4.00,0.00
TN,IL,F07,T00,230.00,278.00,64.00
TX,AL,F07,T00,141.00,262.00,97.00
MI,VA,F05,T00,66.00,18.00,6.00
NC,NC,F04,T03,3563.00,27952.00,673.00
IA,OH,F05,T00,411.00,280.00,91.00
WA,WA,F01,T03,372.00,544.00,14.00
NY,IN,F08,T03,68.00,84.00,24.00
IA,CA,F06,T00,129.00,198.00,187.00
NC,CO,F05,T03,8.00,88.00,72.00
MA,VA,F07,T00,68.00,96.00,25.00
IN,IN,F08,T03,3075.00,3686.00,63.00
VA,FL,F05,T03,361.00,386.00,156.00
AZ,NM,F07,T00,75.00,86.00,15.00
NV,ID,F04,T00,1.00,34.00,6.00
IN,CT,F02,T03,2.00,40.00,18.00
WI,NE,F05,T00,32.00,26.00,8.00
FL,MT,F08,T00,0.00,0.00,0.00
KY,IL,F08,T03,116.00,96.00,18.00
CA,AL,F07,T00,14.00,4.00,4.00
IA,ID,F04,T00,50.00,688.00,463.00
NJ,PA,F05,T03,1300.00,646.00,39.00
IL,MS,F07,T06,130.00,994.00,242.00
IL,ID,F06,T03,12.00,28.00,22.00
KY,TN,F09,T03,366.00,60.00,4.00
FL,PA,F07,T00,266.00,378.00,198.00
MN,WI,F08,T00,94.00,264.00,41.00
MD,IL,F08,T00,130.00,176.00,72.00
KY,CA,F08,T00,160.00,68.00,78.00
TX,TN,F07,T00,203.00,336.00,140.00
UT,UT,F03,T03,1078.00,1734.00,34.00
NM,PA,F06,T00,29.00,42.00,39.00
KS,NV,F06,T00,17.00,66.00,41.00
KY,PA,F07,T03,610.00,810.00,264.00
OH,TN,F07,T03,336.00,672.00,167.00
TN,FL,F06,T00,217.00,208.00,70.00
IA,SD,F04,T00,103.00,612.00,76.00
NV,CA,F05,T00,80.00,30.00,4.00
MO,MT,F07,T03,10.00,20.00,12.00
RI,RI,F05,T00,222.00,146.00,1.00
IL,IA,F05,T00,437.00,408.00,38.00
ID,KY,F07,T00,4.00,2.00,2.00
MN,MD,F06,T00,57.00,66.00,38.00
TX,FL,F05,T03,722.00,324.00,223.00
PA,OH,F04,T00,55.00,154.00,24.00
WI,NY,F08,T06,17.00,56.00,33.00
CA,IL,F05,T03,524.00,228.00,220.00
WA,TX,F03,T03,404.00,856.00,1048.00
CO,CO,F07,T03,4875.00,11416.00,183.00
NJ,PA,F02,T00,0.00,4.00,0.00
FL,TN,F03,T00,44.00,128.00,58.00
NC,TN,F07,T00,263.00,652.00,105.00
CA,LA,F07,T00,256.00,598.00,769.00
MD,NJ,F06,T00,116.00,144.00,11.00
NV,NV,F08,T00,1259.00,1718.00,18.00
MI,GA,F06,T03,477.00,602.00,243.00
CO,WI,F07,T03,58.00,40.00,20.00
MN,CA,F05,T03,898.00,668.00,640.00
MS,OR,F05,T00,14.00,12.00,16.00
ID,NM,F02,T06,2.00,18.00,14.00
TN,NJ,F07,T03,214.00,188.00,84.00
CA,VT,F07,T03,118.00,112.00,150.00
PA,CA,F06,T03,546.00,712.00,966.00
AR,NY,F09,T00,1.00,0.00,0.00
MD,NY,F05,T00,214.00,170.00,24.00
HI,UT,F05,T11,1.00,0.00,0.00
AL,AL,F05,T00,1773.00,1636.00,45.00
IN,MN,F04,T00,74.00,84.00,25.00
CO,TX,F08,T03,789.00,1812.00,862.00
OK,TN,F06,T00,28.00,92.00,30.00
AR,IN,F09,T00,0.00,0.00,0.00
CA,CA,F08,T14,175.00,18.00,2.00
CA,CA,F02,T00,400.00,2146.00,78.00
IN,OH,F07,T00,1643.00,3028.00,289.00
MD,DC,F07,T00,100.00,234.00,3.00
FL,KS,F01,T03,1144.00,956.00,746.00
MN,LA,F03,T07,286.00,2412.00,2052.00
AR,TX,F09,T00,4.00,0.00,0.00
IN,CO,F04,T00,37.00,42.00,23.00
FL,NH,F01,T00,1.00,0.00,0.00
MT,ID,F01,T00,121.00,254.00,91.00
HI,HI,F04,T07,0.00,0.00,0.00
VA,MI,F05,T00,66.00,32.00,12.00
AR,TN,F07,T00,185.00,294.00,40.00
TN,MN,F05,T00,24.00,16.00,7.00
MT,MN,F02,T06,38.00,386.00,154.00
IA,MO,F04,T03,372.00,2860.00,248.00
SC,SC,F05,T03,1006.00,838.00,28.00
DE,FL,F05,T00,7.00,8.00,4.00
TN,IN,F06,T00,126.00,126.00,27.00
MN,SC,F05,T03,46.00,28.00,16.00
WV,IN,F07,T03,2.00,8.00,2.00
NE,TX,F08,T06,80.00,144.00,59.00
AL,AL,F03,T03,1046.00,7386.00,272.00
TN,KY,F06,T00,328.00,784.00,83.00
NY,MD,F07,T03,600.00,728.00,132.00
SC,AR,F07,T00,55.00,46.00,15.00
FL,FL,F06,T14,10.00,2.00,0.00
OR,AZ,F07,T03,238.00,344.00,216.00
MS,KY,F05,T03,33.00,18.00,5.00
MN,MA,F07,T03,138.00,96.00,70.00
MN,AR,F05,T03,98.00,36.00,18.00
NE,WA,F02,T06,42.00,716.00,756.00
ND,MI,F08,T00,46.00,156.00,86.00
IL,WI,F06,T03,1182.00,1704.00,152.00
PA,MD,F06,T03,663.00,1156.00,66.00
MN,KY,F05,T03,10.00,4.00,2.00
NY,ME,F03,T03,19.00,26.00,4.00
ID,AZ,F03,T14,3.00,0.00,0.00
MO,RI,F04,T00,4.00,4.00,2.00
KY,TX,F06,T03,25.00,30.00,14.00
NJ,NY,F07,T03,4202.00,6416.00,316.00
OH,NE,F04,T03,16.00,28.00,12.00
IN,KY,F01,T03,71.00,80.00,6.00
OR,NM,F07,T03,76.00,60.00,48.00
MO,KY,F07,T00,69.00,150.00,33.00
AL,GA,F02,T00,3.00,42.00,5.00
UT,AZ,F05,T03,21.00,10.00,3.00
FL,UT,F05,T03,48.00,12.00,12.00
NH,PA,F06,T03,116.00,56.00,12.00
DE,MA,F05,T00,81.00,94.00,19.00
ID,ID,F03,T03,115.00,766.00,24.00
MI,UT,F06,T03,26.00,28.00,22.00
MS,AZ,F05,T00,47.00,34.00,26.00
CA,LA,F08,T03,56.00,20.00,24.00
VT,IA,F07,T00,4.00,6.00,5.00
OH,NM,F08,T00,1.00,4.00,3.00
MI,MD,F05,T00,100.00,42.00,12.00
VA,GA,F05,T03,158.00,140.00,42.00
MD,TX,F07,T03,98.00,68.00,46.00
MO,CT,F01,T00,3.00,0.00,0.00
NV,IN,F07,T00,17.00,18.00,17.00
IN,ND,F07,T00,43.00,290.00,110.00
MO,NE,F03,T00,16.00,4.00,0.00
TX,MA,F03,T03,10.00,20.00,20.00
IN,MO,F06,T00,88.00,114.00,18.00
AL,MA,F07,T03,22.00,24.00,14.00
ID,OR,F05,T00,25.00,18.00,4.00
FL,NJ,F06,T00,16.00,4.00,2.00
OH,MD,F07,T00,272.00,664.00,180.00
NC,MI,F07,T14,1.00,0.00,0.00
ID,ID,F07,T03,2184.00,3386.00,125.00
IL,OR,F05,T03,148.00,60.00,64.00
NJ,NH,F07,T00,39.00,30.00,5.00
FL,AZ,F05,T03,40.00,8.00,10.00
NE,CO,F05,T00,173.00,146.00,33.00
OR,GA,F03,T00,33.00,46.00,67.00
LA,AL,F06,T00,8.00,10.00,2.00
DE,WA,F07,T03,20.00,12.00,18.00
MT,IL,F06,T03,8.00,28.00,20.00
TN,TN,F09,T00,587.00,28.00,2.00
NM,TX,F02,T03,62.00,764.00,24.00
NJ,PA,F07,T03,2131.00,2964.00,160.00
PA,KY,F03,T03,8.00,16.00,6.00
WA,NC,F05,T03,86.00,20.00,28.00
AR,MO,F02,T03,15.00,108.00,6.00
IA,TX,F06,T06,22.00,200.00,98.00
WA,MO,F05,T00,16.00,4.00,4.00
UT,CO,F04,T03,2.00,4.00,0.00
UT,WA,F05,T03,90.00,56.00,24.00
MD,PA,F04,T00,56.00,186.00,5.00
IA,TX,F07,T06,455.00,2814.00,1499.00
IL,VA,F02,T00,6.00,70.00,34.00
NH,SC,F07,T03,2.00,0.00,0.00
NE,MO,F04,T00,86.00,186.00,32.00
NY,AL,F07,T00,51.00,58.00,30.00
MT,OH,F07,T00,6.00,24.00,17.00
ID,IA,F03,T03,30.00,68.00,44.00
MO,LA,F03,T00,965.00,6450.00,3044.00
FL,IA,F05,T00,4.00,0.00,1.00
NC,DE,F07,T03,8.00,16.00,4.00
IA,ID,F07,T06,69.00,144.00,87.00
VA,WV,F05,T03,62.00,56.00,2.00
AL,VA,F05,T00,36.00,22.00,8.00
SD,WI,F07,T03,826.00,520.00,138.00
NY,NE,F07,T00,15.00,16.00,9.00
FL,NY,F05,T03,229.00,60.00,36.00
IL,GA,F07,T00,723.00,776.00,277.00
LA,SC,F06,T00,1.00,4.00,2.00
NY,OH,F04,T03,218.00,426.00,53.00
AZ,NY,F03,T03,58.00,140.00,182.00
WA,KY,F05,T03,6.00,0.00,2.00
UT,AR,F06,T00,12.00,8.00,6.00
NJ,WI,F07,T03,208.00,204.00,94.00
MI,MI,F05,T03,2766.00,1592.00,38.00
CA,NV,F06,T03,688.00,1172.00,132.00
OH,MT,F08,T00,2.00,4.00,3.00
DE,NJ,F05,T03,261.00,294.00,27.00
OK,IA,F05,T00,18.00,10.00,3.00
MS,NY,F06,T03,18.00,32.00,18.00
KS,SC,F07,T03,12.00,2.00,1.00
MO,KY,F08,T00,34.00,108.00,17.00
HI,TX,F05,T11,1.00,0.00,0.00
OH,IN,F07,T03,2414.00,7208.00,486.00
NY,UT,F06,T03,18.00,8.00,10.00
NY,IN,F03,T03,60.00,68.00,24.00
KY,OH,F07,T03,413.00,590.00,36.00
MA,MA,F07,T03,8336.00,11184.00,174.00
SD,IA,F04,T00,162.00,1190.00,74.00
KS,FL,F05,T03,711.00,338.00,270.00
OH,KS,F06,T00,39.00,38.00,15.00
WA,CO,F08,T00,0.00,2.00,1.00
NJ,NJ,F06,T00,1412.00,1220.00,25.00
OK,TX,F09,T00,84.00,2.00,0.00
IL,MA,F06,T00,41.00,66.00,36.00
SC,SC,F08,T03,3112.00,3840.00,71.00
CA,MI,F08,T03,200.00,192.00,228.00
GA,LA,F03,T03,52.00,44.00,12.00
OK,AR,F02,T03,1.00,8.00,0.00
PA,NC,F07,T03,768.00,1504.00,375.00
PA,MA,F07,T00,591.00,888.00,164.00
GA,NC,F07,T03,736.00,1580.00,290.00
MN,SD,F07,T03,114.00,476.00,43.00
CA,NV,F06,T00,344.00,586.00,66.00
IA,NE,F04,T03,727.00,4378.00,361.00
FL,WI,F05,T00,63.00,30.00,19.00
OH,GA,F02,T06,102.00,1440.00,573.00
RI,NY,F05,T03,126.00,48.00,4.00
CO,CA,F06,T00,46.00,56.00,34.00
OK,CT,F05,T03,8.00,4.00,4.00
CA,MI,F05,T00,87.00,42.00,48.00
OH,VA,F07,T03,270.00,400.00,90.00
SD,KY,F06,T03,8.00,8.00,4.00
IN,NC,F04,T00,332.00,2502.00,1080.00
KY,NY,F07,T03,136.00,144.00,51.00
MI,IN,F07,T03,732.00,1098.00,118.00
CA,NY,F05,T03,102.00,60.00,86.00
IL,MI,F03,T00,221.00,212.00,25.00
MT,MN,F02,T00,39.00,398.00,158.00
MI,MI,F07,T00,6948.00,14674.00,470.00
WI,NJ,F05,T03,43.00,24.00,12.00
TX,NE,F05,T00,78.00,36.00,13.00
ND,MT,F04,T03,2.00,40.00,9.00
DE,IL,F07,T03,18.00,36.00,14.00
LA,MN,F07,T00,8.00,28.00,20.00
FL,WA,F06,T00,1.00,0.00,1.00
NY,ND,F07,T03,82.00,140.00,88.00
VT,VA,F08,T03,6.00,12.00,4.00
OR,OR,F06,T03,869.00,1830.00,39.00
IA,ND,F07,T00,62.00,188.00,48.00
NH,RI,F05,T03,66.00,36.00,2.00
MN,AZ,F05,T00,28.00,22.00,20.00
CA,MT,F08,T03,28.00,36.00,22.00
IL,WA,F05,T00,361.00,76.00,78.00
MI,MA,F05,T03,50.00,20.00,8.00
MN,IA,F06,T00,163.00,372.00,58.00
VA,WV,F07,T00,944.00,1652.00,127.00
TX,SC,F05,T00,152.00,54.00,32.00
PA,MI,F07,T03,410.00,836.00,197.00
IL,WA,F07,T03,178.00,240.00,258.00
MA,MA,F07,T00,4168.00,5592.00,87.00
ID,TX,F03,T00,148.00,336.00,321.00
IL,TX,F08,T07,812.00,2632.00,1896.00
MD,MD,F07,T00,3594.00,6986.00,85.00
NH,AL,F05,T00,1.00,0.00,0.00
NC,MS,F07,T00,40.00,122.00,42.00
MA,OH,F07,T03,118.00,132.00,48.00
KS,NY,F07,T00,7.00,2.00,1.00
NC,VA,F08,T03,271.00,726.00,98.00
NM,KS,F05,T03,342.00,106.00,59.00
GA,IL,F06,T00,344.00,294.00,110.00
FL,MA,F01,T00,3.00,0.00,0.00
IL,MO,F02,T03,208.00,2984.00,156.00
NY,TN,F07,T03,120.00,178.00,78.00
KS,TX,F07,T00,351.00,1120.00,356.00
NC,TX,F07,T03,182.00,348.00,198.00
WA,IN,F07,T03,40.00,56.00,62.00
MO,OR,F08,T00,6.00,4.00,3.00
CA,IL,F06,T00,129.00,102.00,102.00
IN,IN,F03,T00,1137.00,5080.00,89.00
OH,ND,F07,T03,10.00,28.00,15.00
KY,AL,F04,T00,5.00,24.00,6.00
KY,LA,F08,T03,76.00,32.00,12.00
PA,IN,F05,T00,35.00,24.00,8.00
UT,DC,F07,T00,1.00,0.00,0.00
MS,AL,F04,T00,42.00,360.00,10.00
MO,AL,F07,T00,54.00,60.00,19.00
AK,FL,F05,T00,4.00,0.00,1.00
PA,MN,F05,T03,30.00,16.00,8.00
AZ,MN,F07,T03,44.00,28.00,26.00
LA,MA,F05,T00,18.00,18.00,13.00
DE,TX,F07,T03,14.00,28.00,22.00
FL,FL,F07,T00,11928.00,30016.00,1213.00
NE,AZ,F02,T06,75.00,1206.00,863.00
KY,CO,F04,T03,4.00,4.00,2.00
IA,PA,F08,T06,48.00,164.00,84.00
MI,TX,F03,T06,28.00,92.00,80.00
MT,NM,F07,T14,0.00,0.00,0.00
NC,NC,F09,T14,7.00,0.00,0.00
HI,CA,F03,T14,1.00,0.00,0.00
AL,OR,F05,T03,86.00,112.00,146.00
FL,IN,F07,T03,126.00,120.00,62.00
VT,MO,F07,T03,128.00,136.00,90.00
NE,WA,F04,T00,14.00,30.00,24.00
KY,KS,F07,T03,27.00,32.00,10.00
IN,FL,F06,T00,65.00,86.00,44.00
CA,MA,F07,T00,278.00,546.00,694.00
KY,MI,F03,T00,23.00,28.00,4.00
GA,PA,F06,T00,391.00,316.00,122.00
OK,KS,F06,T00,29.00,58.00,6.00
SC,AR,F05,T03,41.00,56.00,22.00
NY,PA,F06,T03,1020.00,1466.00,205.00
WI,TX,F03,T00,60.00,174.00,101.00
CO,MO,F07,T00,74.00,174.00,59.00
CA,WI,F03,T03,162.00,256.00,270.00
IN,CA,F08,T00,0.00,0.00,0.00
ID,WA,F02,T00,2.00,30.00,5.00
MA,ME,F05,T03,352.00,92.00,14.00
AL,GA,F03,T00,177.00,856.00,109.00
OH,WI,F07,T03,870.00,854.00,209.00
NE,KY,F05,T00,74.00,48.00,20.00
OK,PA,F06,T00,9.00,14.00,10.00
IL,IN,F07,T03,1733.00,2914.00,255.00
SC,OK,F07,T00,0.00,0.00,0.00
SC,VA,F03,T03,64.00,104.00,21.00
PA,IN,F06,T03,76.00,72.00,20.00
FL,IL,F01,T14,0.00,0.00,0.00
TN,TN,F06,T03,3864.00,8888.00,273.00
IN,MO,F01,T00,33.00,34.00,8.00
IA,MA,F06,T00,5.00,32.00,21.00
CT,WA,F06,T03,4.00,4.00,4.00
LA,OH,F07,T00,23.00,48.00,23.00
PA,MD,F04,T00,218.00,600.00,37.00
KS,NY,F01,T03,10.00,0.00,0.00
KY,CO,F07,T03,14.00,20.00,11.00
AR,WI,F06,T00,0.00,0.00,0.00
ME,CO,F06,T00,0.00,0.00,1.00
CA,NV,F05,T03,648.00,354.00,48.00
FL,KY,F05,T03,101.00,36.00,15.00
NC,MO,F05,T00,115.00,96.00,46.00
MO,IL,F07,T03,1539.00,3112.00,305.00
FL,WV,F01,T00,1.00,0.00,0.00
MN,AR,F05,T00,49.00,18.00,9.00
TX,MA,F05,T00,134.00,68.00,67.00
MO,IL,F06,T00,303.00,724.00,72.00
IN,VA,F03,T00,11.00,8.00,2.00
CO,ID,F08,T03,94.00,276.00,100.00
RI,MA,F05,T00,154.00,80.00,2.00
GA,CA,F05,T03,416.00,396.00,468.00
ME,NJ,F07,T00,236.00,1902.00,384.00
IL,VT,F09,T00,1.00,0.00,0.00
UT,AZ,F07,T00,245.00,206.00,78.00
PA,DE,F06,T03,41.00,38.00,2.00
NC,CA,F05,T00,306.00,226.00,304.00
MN,NC,F07,T03,58.00,144.00,92.00
NY,IL,F08,T03,53.00,126.00,51.00
NC,TN,F05,T00,167.00,166.00,38.00
ND,MN,F04,T03,28.00,542.00,66.00
CA,IN,F03,T14,9.00,0.00,1.00
VA,AL,F05,T00,78.00,52.00,18.00
OK,AL,F06,T00,7.00,20.00,8.00
CA,OR,F08,T06,139.00,330.00,114.00
MD,MD,F08,T03,3334.00,2896.00,31.00
KS,NH,F01,T00,4.00,0.00,0.00
VT,OH,F07,T03,58.00,44.00,16.00
NY,NJ,F03,T03,1974.00,3122.00,67.00
KY,TN,F04,T00,48.00,308.00,20.00
NM,TX,F08,T03,90.00,344.00,64.00
OK,OK,F07,T00,1335.00,3684.00,72.00
PA,IN,F09,T00,16.00,0.00,0.00
MO,IN,F04,T03,36.00,112.00,22.00
KY,OH,F06,T00,183.00,172.00,15.00
IA,MI,F04,T00,335.00,1818.00,636.00
MO,KS,F08,T03,37.00,178.00,23.00
NJ,KY,F04,T00,2.00,6.00,2.00
IA,IA,F07,T00,4476.00,13432.00,395.00
LA,AL,F03,T00,21.00,56.00,9.00
VA,IN,F07,T03,77.00,194.00,54.00
UT,FL,F07,T00,9.00,0.00,1.00
GA,WI,F06,T00,37.00,64.00,28.00
NV,NM,F07,T00,5.00,12.00,3.00
HI,KS,F05,T00,1.00,0.00,0.00
IA,CA,F05,T03,1592.00,932.00,819.00
KS,KS,F05,T00,1256.00,1004.00,49.00
TN,NY,F05,T03,6.00,4.00,2.00
TX,NJ,F05,T00,173.00,74.00,61.00
NE,NE,F03,T00,769.00,5070.00,173.00
WI,MO,F03,T03,17.00,124.00,37.00
ID,LA,F03,T00,9.00,16.00,15.00
FL,AL,F06,T03,14.00,8.00,2.00
UT,WA,F06,T00,36.00,34.00,13.00
PA,IN,F05,T03,35.00,24.00,8.00
NC,AL,F05,T03,69.00,78.00,22.00
FL,PA,F03,T03,644.00,1062.00,600.00
OK,MO,F06,T00,47.00,120.00,18.00
MD,AL,F07,T00,50.00,56.00,23.00
IL,MI,F04,T00,35.00,314.00,44.00
MO,TX,F04,T00,87.00,374.00,159.00
KS,IL,F05,T00,849.00,402.00,153.00
ND,ND,F08,T00,183.00,236.00,8.00
UT,MN,F06,T03,104.00,84.00,56.00
IN,KS,F04,T00,28.00,26.00,9.00
WA,NM,F08,T03,2.00,12.00,10.00
RI,OH,F05,T00,8.00,2.00,1.00
MO,NY,F05,T03,20.00,28.00,16.00
KY,GA,F08,T00,126.00,76.00,24.00
MO,AR,F06,T00,116.00,302.00,42.00
FL,TX,F03,T03,330.00,338.00,209.00
CA,FL,F03,T00,580.00,490.00,675.00
IL,UT,F07,T00,120.00,86.00,60.00
CT,IA,F07,T03,6.00,12.00,6.00
WA,AZ,F03,T03,236.00,484.00,396.00
MT,WI,F07,T00,10.00,40.00,20.00
IA,LA,F02,T00,357.00,5334.00,3860.00
MI,IN,F03,T00,257.00,240.00,19.00
KY,IN,F06,T00,82.00,94.00,9.00
