Source,Target,FoodCate,TransMode,ShipValue,ShipWeight,ShipTonMile
KY,PA,F08,T03,208.00,76.00,24.00
ND,MN,F04,T06,5.00,116.00,23.00
TX,OH,F05,T00,258.00,186.00,109.00
MO,CO,F05,T00,30.00,38.00,15.00
CT,MA,F06,T00,185.00,220.00,11.00
UT,UT,F07,T00,1361.00,2916.00,98.00
MD,WI,F07,T03,53.00,44.00,20.00
OH,MA,F06,T00,36.00,56.00,20.00
SC,PA,F03,T03,1.00,2.00,0.00
FL,MN,F01,T00,0.00,0.00,0.00
PA,PA,F05,T03,6217.00,4200.00,160.00
ID,KS,F07,T00,30.00,114.00,67.00
HI,MI,F03,T11,0.00,0.00,0.00
IA,PA,F04,T00,243.00,812.00,427.00
NY,NY,F03,T00,4589.00,8262.00,180.00
IL,IN,F08,T03,22.00,42.00,4.00
ID,OR,F03,T03,166.00,278.00,73.00
AR,MN,F07,T03,60.00,52.00,24.00
TN,MO,F05,T00,46.00,62.00,14.00
KY,CO,F04,T00,2.00,2.00,1.00
CA,VT,F03,T03,46.00,36.00,56.00
MI,MI,F09,T03,1560.00,188.00,4.00
MS,GA,F06,T00,82.00,112.00,31.00
GA,NC,F05,T00,930.00,682.00,111.00
KY,GA,F06,T03,362.00,392.00,83.00
DE,WI,F07,T00,3.00,2.00,1.00
IA,WA,F07,T03,32.00,36.00,28.00
OR,WA,F06,T00,612.00,674.00,67.00
KS,CA,F06,T03,172.00,214.00,169.00
IA,ND,F07,T03,80.00,296.00,77.00
SD,MI,F07,T03,12.00,16.00,6.00
ID,WY,F09,T03,6.00,0.00,0.00
AZ,IL,F05,T03,124.00,32.00,28.00
IN,WI,F03,T00,47.00,50.00,11.00
VA,VA,F09,T00,8981.00,348.00,3.00
AR,AZ,F04,T00,5.00,36.00,26.00
AL,NY,F05,T00,50.00,44.00,23.00
MN,MI,F05,T00,78.00,64.00,22.00
CA,OR,F05,T00,393.00,264.00,103.00
MO,NV,F07,T03,112.00,140.00,120.00
IL,WA,F07,T00,89.00,120.00,129.00
IN,GA,F05,T03,286.00,228.00,73.00
MD,IA,F04,T03,0.00,0.00,0.00
AR,NV,F05,T03,22.00,12.00,10.00
MN,NJ,F05,T00,114.00,88.00,57.00
IL,KY,F06,T00,149.00,358.00,54.00
VA,AZ,F05,T00,7.00,2.00,2.00
FL,ND,F06,T00,0.00,0.00,0.00
PA,NY,F04,T00,151.00,322.00,41.00
MT,MT,F07,T03,929.00,2332.00,152.00
NC,NY,F07,T00,176.00,424.00,140.00
ND,MN,F07,T03,397.00,1612.00,202.00
CA,AZ,F05,T03,1540.00,1128.00,266.00
FL,CT,F08,T14,1.00,0.00,0.00
NJ,NY,F02,T03,7.00,16.00,0.00
NE,UT,F04,T00,19.00,128.00,64.00
IN,PA,F07,T00,360.00,856.00,239.00
WA,WA,F06,T00,1868.00,2376.00,44.00
IL,NH,F07,T00,7.00,6.00,3.00
MD,AZ,F04,T03,14.00,12.00,18.00
WA,OR,F05,T03,1008.00,520.00,52.00
TX,OK,F05,T03,874.00,766.00,129.00
SC,AZ,F07,T03,2.00,2.00,2.00
IA,MI,F05,T00,350.00,268.00,84.00
MS,IN,F05,T00,17.00,8.00,3.00
MI,MI,F08,T03,5507.00,7936.00,106.00
NJ,OH,F07,T00,184.00,224.00,59.00
IL,CO,F08,T03,0.00,0.00,0.00
TN,MI,F06,T03,296.00,468.00,160.00
